Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,5186911,4078473,5227072,6977112,7470256,9246662,14519697,16835434
China,508814,448773,701506,1381714,2277360,4473326,7509295,8954313
Singapore,0,3665,499583,686789,534003,743233,1341187,1448681
"Tanzania, United Republic of",1716371,589378,263535,1316627,1617311,1594069,2023986,1379403
"Hong Kong, China",0,1264,1121,1202,0,121661,651295,1317035
Mozambique,528,0,0,100543,370441,172481,434253,1082665
United Arab Emirates,279740,239790,388645,419430,482550,550550,906662,912910
Switzerland,359886,170011,389598,432634,113551,735067,425606,727232
South Africa,2122159,2549728,2764020,2253024,1435722,314427,470829,503474
Viet Nam,0,0,0,0,165831,215372,378146,402783
Angola,0,1,102,14178,26119,943,10736,65967
Eswatini,0,0,854,825,2424,1309,4854,35812
India,0,0,385,1132,2029,2619,4270,5027
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,131
British Virgin Islands,0,0,0,0,0,25731,3912,0
Andorra,186,0,0,0,0,0,0,0
Belgium,0,342,351,86,0,0,4,0
Cameroon,2,0,0,0,0,0,0,0
Central African Republic,0,449,0,0,0,0,0,0
France,0,142,203,57,1,3,0,0
Gabon,2,0,0,0,0,0,0,0
Germany,0,27,0,379,0,0,0,0
Israel,0,0,2917,0,0,0,0,0
"Korea, Republic of",0,0,94,97,0,0,0,0
Luxembourg,56362,73069,132033,123966,78687,5450,0,0
Malaysia,0,0,65029,112346,56088,338,0,0
Mali,0,0,1,0,0,0,0,0
Namibia,62963,0,0,7232,0,0,0,0
Niger,1,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,2885,0
Uganda,0,32,0,3,1,8,0,0
United Kingdom,7840,0,0,0,0,0,0,0
United States of America,0,178,153,0,0,0,0,0
Uruguay,0,0,6790,0,0,0,0,0
Zambia,72055,1624,10152,124847,308139,290075,351777,0
HHI,0.376121723,0.540321772,0.441951572,0.28419191,0.249524717,0.388009712,0.403532148,0.391074517
