Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,11095,6953,12576,17004,65154,72893,32743,19807,28854,114727,24066,53720
India,0,9,194,65,186,72,40,120,1,232,6,16304
Pakistan,4153,4668,5736,10969,43877,32518,17879,3547,5648,5876,8153,15673
United Arab Emirates,0,17,94,290,7332,4583,1381,2039,261,4626,10657,12302
"Iran, Islamic Republic of",689,383,2154,1770,4693,24141,11037,9152,6339,19360,3583,6743
China,1106,291,1795,975,1792,596,1166,2348,6009,863,678,2283
Türkiye,897,629,600,1409,1561,2660,778,445,933,169,85,256
Russian Federation,578,0,30,12,0,6,90,326,570,1309,51,128
Finland,0,0,0,0,0,0,0,0,0,0,0,13
United States of America,0,0,163,39,16,0,0,941,24,1,4,13
Switzerland,0,0,0,0,0,0,0,0,0,0,0,4
Uzbekistan,3671,436,905,0,0,0,0,0,8758,79518,0,2
Marshall Islands,0,0,0,0,0,2,0,0,0,0,0,0
Turkmenistan,0,0,0,14,2,22,0,38,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,151,711,0
Myanmar,0,0,0,0,0,0,0,65,0,0,0,0
Canada,0,0,0,0,45,0,0,0,0,0,3,0
France,0,0,0,45,2,20,18,3,69,11,1,0
Germany,0,3,0,5,87,0,0,0,0,5,32,0
Indonesia,0,0,10,38,0,0,0,37,0,0,0,0
Ireland,0,0,0,0,0,0,0,35,0,0,0,0
Italy,0,19,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,39,3,0,0,0,21,0,1,0
Kazakhstan,0,0,0,15,0,0,0,559,0,1188,0,0
"Korea, Republic of",0,428,0,198,0,0,0,0,14,7,0,0
Malaysia,0,0,0,0,0,0,100,16,0,0,0,0
"Taipei, Chinese",0,0,0,12,0,0,0,0,0,2,0,0
Poland,0,0,0,0,0,0,0,117,0,2,0,0
Saudi Arabia,0,34,121,66,0,0,0,0,0,0,0,0
Singapore,0,0,0,4,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,17,1,5,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,1,0,0
Tajikistan,0,35,37,750,5557,7648,97,16,200,1365,69,0
Thailand,0,0,20,22,0,0,139,0,0,31,31,0
Ukraine,0,0,717,0,0,602,0,0,0,0,0,0
Egypt,0,0,0,0,0,24,0,0,0,0,0,0
United Kingdom,0,0,0,267,0,0,0,0,0,11,1,0
HHI,0.192462615,0.55948209,0.343109655,0.569153624,0.57490844,0.405238112,0.500293666,0.376662229,0.280670738,0.63502319,0.438070959,0.280241464
