Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,18051,37693,26051,26778,29136,35329,34587,38048,48043,48057,58066,60371,54468,53136,62084,54892,56656,55781,67812,57781
Côte d'Ivoire,1036,23102,20729,21257,24791,33082,34418,36920,44909,43585,51709,54801,49806,46999,55604,47733,49950,50802,64061,53523
Nigeria,0,0,0,0,0,0,0,0,34,2004,4438,3877,2499,3437,4239,4132,3120,2779,2000,2388
Senegal,11187,12837,3667,938,0,0,1,903,2686,2054,1456,1218,1539,1567,1598,1011,2088,836,1042,1101
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281
United Arab Emirates,0,57,0,0,0,10,0,19,0,24,0,0,19,145,0,1251,778,674,158,241
Ukraine,0,0,0,0,0,0,0,0,0,0,0,284,580,840,498,580,586,634,471,133
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,0,56,22,101,0,0,0,39
Cuba,0,0,10,17,0,0,0,0,0,0,0,20,15,17,5,13,35,10,18,15
Mali,1,23,92,42,26,29,14,23,8,12,8,3,1,0,1,4,35,45,6,1
Belgium,1208,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56,0
Brazil,0,0,0,0,416,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,1,32,114,51,1,0,0,0
Czech Republic,103,0,1264,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,1,391,21,3597,3679,1376,2,0,0,0,0,0,0,30,0,0,0,0,0,0
Faroe Islands,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Germany,0,0,0,463,170,203,87,155,384,356,441,162,0,9,0,0,10,0,0,0
Ghana,1276,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
Niger,11,0,0,0,5,25,25,26,21,17,15,7,8,4,2,2,4,1,0,0
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
Romania,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
Switzerland,0,203,220,387,45,154,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,48,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0.491283598,0.55222611,0.705424706,0.70928411,0.783942191,0.905981424,0.992447847,0.952820279,0.892643665,0.85913443,0.82117322,0.861157584,0.874084971,0.838941029,0.847945899,0.822008759,0.839882583,0.864453073,0.915382463,0.893898964
