Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,27884,27512,39311,22588,28886,13750,70392,32668
Malaysia,1523,1726,17875,11126,13717,1729,12421,9517
United States of America,496,588,190,192,190,170,3570,6001
Indonesia,11446,7569,4984,4077,8339,2807,1569,3698
South Africa,4525,1793,1334,1982,946,930,43620,2130
China,39,230,107,60,159,186,1354,1879
Singapore,255,0,0,0,404,1188,1128,1713
Kenya,1064,720,369,269,380,769,724,1186
Uganda,2384,985,557,1075,1160,2376,811,1063
Italy,133,451,722,428,439,96,504,997
Spain,123,310,91,166,261,332,326,737
Türkiye,356,192,452,197,290,214,161,692
Argentina,437,256,318,326,210,341,178,499
Belgium,1237,344,302,275,293,233,175,472
Zambia,316,203,137,634,494,966,339,421
Ukraine,0,49,67,0,32,200,1207,312
India,208,137,96,80,231,70,310,291
United Arab Emirates,211,40,22,10,37,48,874,164
Brazil,58,80,91,72,18,36,112,159
Sri Lanka,0,0,38,163,94,191,2,154
France,1448,1965,1231,430,249,181,379,107
Egypt,4,0,0,18,31,63,5,104
Angola,103,478,284,141,194,108,81,97
Tunisia,0,20,38,42,30,101,77,97
Netherlands,181,299,586,387,246,288,272,66
Lebanon,37,34,24,25,53,23,13,28
Pakistan,44,52,42,1,61,0,0,27
Burkina Faso,0,0,0,0,0,0,0,11
Germany,24,22,6,6,202,16,10,10
Ghana,10,0,0,0,0,20,0,9
Rwanda,657,52,17,160,32,1,4,9
Namibia,0,0,0,0,0,0,0,8
Portugal,33,22,0,2,0,23,0,3
Poland,0,1,0,0,2,12,1,2
Sweden,0,0,0,0,0,6,29,2
Greece,0,0,0,0,0,0,0,1
Nigeria,0,1,1,7,4,0,4,1
Cocos (Keeling) Islands,0,1,0,0,0,0,0,0
Australia,0,0,1,0,0,0,0,0
Bangladesh,0,0,0,2,0,0,0,0
Burundi,4,0,0,18,11,0,0,0
Cameroon,82,0,0,0,0,0,0,0
Canada,0,0,0,3,0,7,0,0
Colombia,0,0,0,2,0,0,0,0
Congo,0,0,7,0,0,0,0,0
Cyprus,0,0,0,0,0,4,1,0
Ireland,0,0,0,8,0,0,0,0
Côte d'Ivoire,9,8168,9242,0,4,4,0,0
Japan,8,0,0,0,0,0,0,0
Jordan,2,2,0,0,0,0,0,0
Liberia,0,457,0,0,0,0,0,0
Luxembourg,0,0,0,0,15,0,0,0
Mali,0,2,0,0,0,0,0,0
Montserrat,0,0,2,0,0,0,0,0
Morocco,34,4,0,10,0,2,0,0
Mozambique,0,0,0,5,0,0,0,0
Norway,0,0,37,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,10,0,0,0
Saudi Arabia,0,0,1,1,0,0,0,0
Switzerland,0,0,0,0,0,0,1,0
Thailand,0,3,0,0,1,0,10,0
United Kingdom,13,9,3,32,40,9,30,0
"Tanzania, United Republic of",380,248,39,139,9,0,88,0
Uruguay,0,0,0,15,0,0,0,0
HHI,0.352192673,0.31265024,0.435033589,0.448184831,0.47296244,0.199387977,0.576205993,0.259927428
