Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,21,2,46,0,0,0,0,0,0,0,14730,56252,49980,22398,28331,14891,22777,20369
"Congo, Democratic Republic of the",1,0,0,0,0,0,0,0,0,0,10018,47180,42247,17677,24497,8295,9721,14741
Congo,0,0,0,0,0,0,0,0,0,0,3677,7624,7010,3763,3379,5825,10325,4770
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,22,39,2,247,1,366,345,398
Portugal,7,0,0,0,0,0,0,0,0,0,303,297,66,193,110,61,296,133
Germany,0,1,0,0,0,0,0,0,0,0,3,2,0,68,0,0,38,114
Namibia,0,0,0,0,0,0,0,0,0,0,240,335,190,142,71,92,102,94
South Africa,0,0,0,0,0,0,0,0,0,0,5,0,20,28,0,9,190,71
Spain,0,0,0,0,0,0,0,0,0,0,0,1,2,5,13,13,365,15
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10
Panama,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,1,19,3
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,3
Cyprus,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,75,2
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2
Brazil,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,49,1
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
Liberia,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1
Malta,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,1,1
Nigeria,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,124,1
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
China,6,0,0,0,0,0,0,0,0,0,66,582,98,230,198,184,15,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
Italy,0,1,0,0,0,0,0,0,0,0,45,2,0,0,0,1,6,0
Lebanon,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,111,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0
Marshall Islands,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,3,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bahamas,0,0,0,0,0,0,0,0,0,0,4,1,0,5,0,0,3,0
Belize,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,151,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,18,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
France,0,0,1,0,0,0,0,0,0,0,18,1,29,1,0,4,106,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Ghana,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
