Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,51,252,172,348,495,294,1583,1288,1328,1139,419,274,503,7593,17260,3959,2163,1889
Germany,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,8,0,821
China,0,11,41,5,171,20,138,242,166,304,69,82,195,7490,17073,3577,1811,788
Portugal,26,41,39,58,119,59,127,367,242,403,290,88,279,48,113,112,309,176
Norway,0,36,0,0,0,15,0,0,652,2,0,19,8,0,24,6,0,37
Spain,0,0,0,0,11,0,2,0,141,56,0,0,0,0,33,41,15,25
United Kingdom,0,2,0,0,6,19,10,79,21,60,7,18,0,1,7,10,8,15
Namibia,0,0,0,36,37,1,3,19,4,0,0,5,0,0,0,0,1,13
"Congo, Democratic Republic of the",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,7
Brazil,0,1,24,87,2,4,21,15,3,45,0,0,0,0,0,0,0,2
France,0,45,9,3,1,12,8,510,3,0,1,0,0,2,2,1,2,1
"Hong Kong, China",0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,1
India,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1
Viet Nam,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1
United States of America,1,108,44,30,9,26,1,4,10,52,2,1,0,6,4,24,8,1
United Arab Emirates,0,0,1,0,0,1,1,1,40,1,0,0,0,0,1,0,0,0
British Virgin Islands,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,12,0,37,1167,7,4,22,0,24,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Congo,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,39,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,1,0,0,78,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,1,3,11,0,0,0,9,0,0,0,0
Italy,0,0,0,0,0,11,9,0,1,42,0,6,0,0,0,1,0,0
Côte d'Ivoire,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,4,0,0,15,0,15,0,0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,1,0,1,0,0,14,18,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Netherlands,0,0,3,8,1,0,14,0,0,2,0,0,0,0,0,0,0,0
Russian Federation,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
South Africa,2,1,1,3,90,58,29,42,5,27,41,0,5,15,2,179,1,0
Switzerland,0,0,6,0,48,0,0,0,17,0,0,21,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
HHI,0.313579155,0.273214057,0.205080779,0.172846746,0.26276288,0.109856246,0.674690814,0.336068145,0.406160897,0.306267925,0.56449958,0.248620699,0.455102982,0.979691663,0.984191109,0.861314147,0.774127621,0.467949246
