Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,90745,134913,218349,260997,444695,336144,431905,765808,591739,618332,310803,327483,404155,451999,467241,365708,409364,556716
China,4618,11278,11438,18969,46025,44159,51266,82770,100656,117003,68700,49761,64198,89436,115524,100632,91399,158316
Portugal,31663,40434,87528,49352,119747,99898,126245,242418,189852,147517,51927,62609,93601,95238,80220,57056,63304,66582
India,882,1231,1722,3065,3858,3335,6894,15129,9797,17312,12340,13919,17386,40026,38839,28056,33252,53276
"Korea, Republic of",1330,4784,4321,6275,24298,24889,22345,34327,34298,35982,25794,19174,35737,32163,23344,17366,20940,46793
United States of America,1414,2297,6312,17739,23335,16997,22261,43678,25224,28660,20629,19401,13432,10233,27786,15816,15335,29026
United Arab Emirates,3073,6467,9032,3922,6903,3917,5597,25936,19849,22121,13239,6636,6022,13091,13684,11708,21843,26908
Saudi Arabia,1508,793,1938,6623,6941,3317,6250,12037,4192,5993,9011,9811,8071,13732,15692,10517,29614,26161
South Africa,19768,18335,26695,23555,51260,38195,48504,58878,50524,41118,22579,26022,33389,21062,22332,16751,19621,23845
Spain,556,1877,15355,10792,4658,4316,4431,16290,18817,10242,8132,9903,7534,15291,10856,5853,3846,12314
Türkiye,26,0,2712,2498,2476,1450,3616,4643,6596,7316,3383,4435,5779,15429,15482,10046,8944,11967
Belgium,1981,11206,6997,6088,9924,17222,19618,25799,15079,16738,11334,13782,11878,12823,17334,16051,8978,11880
Germany,783,2933,1879,2843,2491,1913,2220,4220,5118,7024,2995,5891,4592,5568,5632,6847,6455,10887
United Kingdom,940,1075,825,5475,5942,4286,35546,14858,11536,17893,8144,12034,8778,4917,5345,7120,11783,10805
Thailand,620,1184,615,3712,8363,4589,8033,16090,11728,25305,10249,16389,28393,15111,9683,3667,5823,6378
Italy,2680,1251,4291,3498,2460,2974,3865,9250,9091,5944,2951,2647,2699,4777,4966,9494,7326,6019
Qatar,175,0,357,700,1162,474,1999,1522,2054,2445,3804,6910,3640,4826,4371,4096,4054,5230
France,2287,3660,5554,39236,19154,16251,10817,58912,16502,12624,6635,6400,13202,6396,6834,5891,7357,4432
Netherlands,804,2897,2642,6986,2149,5226,3716,2492,5518,3247,1917,3635,3436,3454,6548,3475,11053,3619
Egypt,325,141,322,182,815,184,128,360,368,642,280,1096,1635,1099,1171,1556,5205,3185
Kuwait,0,0,0,3,0,0,280,8,222,5,3,1829,3148,5106,4157,939,2970,2839
Brazil,5745,8441,12412,21343,26704,16190,14249,28132,10853,15374,2707,2795,2246,3377,878,1649,1162,2778
Malaysia,1804,3211,2117,1696,7883,3421,5148,9044,6673,5770,2139,4106,3049,5604,4217,4217,2813,2746
Namibia,7,12,6,3435,26224,2653,6628,15445,7810,10759,2787,1582,1627,1703,1835,1174,2270,2734
Lebanon,1136,1438,2478,1815,8713,4528,4809,7633,7609,5588,3429,4700,6324,9582,3209,2083,2395,2690
Oman,0,0,0,1,0,163,38,3842,128,362,58,331,61,420,469,191,1584,2654
Viet Nam,357,17,44,52,51,98,494,520,684,715,666,680,457,899,1129,2144,835,2181
Morocco,0,0,0,237,19,2,7,28,75,127,0,405,346,43,247,75,1135,1925
Nigeria,94,238,1175,72,509,53,61,40,30,3,1,20,11,78,678,129,757,1866
Bahrain,0,0,0,2,0,0,0,0,204,384,351,944,383,447,278,238,421,1683
Botswana,0,0,31,83,31,0,0,0,0,2,35,0,0,0,57,0,21,1603
Sweden,289,12,498,199,1262,90,418,143,257,807,468,168,69,34,814,33,738,1533
Tunisia,0,37,1,119,625,352,183,120,133,30,67,198,251,253,5674,2325,1169,1505
Singapore,1161,3836,5039,3806,3395,5323,4387,5750,5126,14692,2358,3116,13117,8024,3838,3632,1358,1467
"Korea, Democratic People's Republic of",0,35,0,741,964,23,0,120,0,263,4076,8,603,553,2489,698,775,1270
"Taipei, Chinese",98,199,72,424,1518,583,1965,2705,2257,4136,578,1636,2818,641,1203,2103,3055,847
Pakistan,0,0,0,189,16,23,51,28,147,2,7,2,3,252,111,199,179,670
Norway,0,161,40,1371,1142,1658,1569,9044,2735,944,901,7257,809,541,1137,1658,1491,619
Argentina,0,3122,15,196,2684,230,10,34,181,20,20,0,42,21,73,3,224,602
Mauritania,0,0,0,66,0,0,336,2471,526,2382,0,130,10,45,0,420,117,540
Russian Federation,3,1,0,306,104,11,23,12,36,30,35,82,256,366,95,135,887,327
"Hong Kong, China",0,236,607,445,477,489,1242,285,982,3075,353,1295,94,973,219,968,595,303
Israel,7,133,240,746,3623,1159,738,2361,1859,3598,1241,1371,446,1958,462,703,394,288
Ethiopia,21,0,0,7,7,11,0,27,1,0,0,1,0,11,6,12,4,252
Canada,420,65,2,642,224,368,467,541,815,1933,374,702,75,194,54,63,104,236
Switzerland,3435,807,36,275,1317,479,597,632,1024,357,268,454,412,222,217,188,97,234
Denmark,2,0,1152,341,123,183,107,224,333,300,158,92,308,136,133,952,278,192
"Congo, Democratic Republic of the",5,16,17,211,6,159,198,85,46,100,147,43,24,69,165,148,140,159
Ireland,0,0,0,72,9,2,2,6,25,2,0,26,1,1,24,104,6,155
Mexico,0,0,0,19,157,0,33,15,311,214,43,47,77,42,93,23,95,148
Malta,0,0,0,104,5,1,0,316,318,619,456,0,0,23,78,1,24,146
Indonesia,384,76,41,724,1106,343,295,215,382,156,223,259,355,505,316,949,352,145
Bulgaria,0,0,0,0,2,20,1,36,11,25,7,203,16,106,118,56,74,144
Japan,50,16,252,608,1045,451,291,917,88,181,181,303,15,38,45,45,1019,116
Poland,0,0,0,38,38,1,23,191,137,273,70,74,436,230,209,212,103,116
Hungary,0,0,0,22,3,34,0,3,555,0,32,1,31,5,108,144,2,114
Mauritius,0,0,0,4,0,0,0,160,0,215,275,15,129,760,275,170,1791,103
Ghana,12,0,0,498,1249,200,683,131,117,2390,102,12,3,11,0,118,87,100
Mozambique,0,0,0,9,23,1,10,153,13,10,9,4,33,111,153,47,120,94
Congo,100,9,25,1642,2883,759,871,479,195,68,33,23,18,0,77,33,50,92
Andorra,0,0,0,34,3,0,0,0,0,0,0,0,0,0,179,0,1,88
Panama,0,90,0,7,8,45,0,626,8,16,3,121,359,274,7,8,1,85
Australia,8,0,0,664,4,34,55,33,113,171,4,110,362,81,467,13,4,80
Austria,0,62,0,111,19,57,38,109,43,37,55,117,342,99,27,63,11,59
Greece,1,0,146,253,43,66,69,237,161,20,0,76,103,80,186,373,110,52
Guatemala,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,51
Romania,0,460,0,0,0,0,0,5,3,10,0,3,118,0,0,1,2,51
Jordan,0,0,0,83,36,0,3,2,5,415,89,15,0,438,1223,1730,745,43
"Macao, China",0,0,0,0,0,0,0,0,58,37,1,0,0,0,54,4,4,40
Serbia,0,0,0,0,2,0,14,396,1,0,0,0,1,3,0,1,0,36
Myanmar,0,0,0,0,0,0,0,0,0,0,23,0,0,0,54,44,0,35
Lithuania,0,0,0,0,0,0,0,0,0,34,0,188,187,1161,2631,0,0,33
Georgia,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,31
Bermuda,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,27
Gabon,0,0,244,9,7,32,1,70,46,16,50,24,0,0,7,1,16,24
Cyprus,0,0,0,39,1260,480,47,1,18,67,1,0,167,13,0,0,138,22
Latvia,0,0,0,50,19,67,40,72,81,223,70,96,57,62,34,7,2,19
Senegal,0,0,0,56,73,36,98,20,104,0,0,1,71,30,164,0,0,19
Czech Republic,0,1,19,48,0,0,2,4,1,8,13,5,41,0,2,13,27,9
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,2,62,0,41,8
Zambia,8,0,0,0,0,4,0,0,0,2,0,0,2,87,56,4,0,7
Eswatini,0,0,115,0,4,1,0,27,9,3,1,4,8,1,82,439,22,6
Ecuador,0,0,0,63,208,0,0,13,0,0,1,49,0,0,2,0,3,5
Finland,0,0,0,216,437,1,138,23,220,264,187,181,303,76,207,7,12,5
Sao Tome and Principe,0,0,0,2,0,0,0,8,0,318,22,0,1,0,42,44,2,5
Azerbaijan,0,0,0,59,0,0,0,0,0,0,0,0,0,55,0,0,0,4
Sri Lanka,0,0,0,37,0,0,0,1,8,1,0,0,0,0,0,0,0,4
Costa Rica,0,0,0,3,0,0,0,0,0,0,0,7,10,2,7,1,39,4
Gibraltar,0,48,0,701,1135,114,56,0,13,447,0,0,0,1,0,0,0,3
Côte d'Ivoire,0,0,0,361,684,372,130,339,150,109,206,84,85,142,21,0,0,3
Kenya,1,0,0,406,2,8,6,34,13,34,105,10,9,2,2,251,14,2
Uganda,0,0,0,0,7,0,0,0,1,7,0,0,0,0,0,1,0,2
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Iraq,0,0,0,154,29,0,107,0,0,0,24,0,0,0,0,2,0,1
Kazakhstan,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,1
Philippines,0,0,0,0,372,117,179,3,18,38,8,0,25,12,2,0,1,1
Slovakia,0,0,185,157,2,0,7,3,1,0,2,53,1,0,8,1,1,1
Ukraine,0,0,0,0,0,6,0,11,4,0,6,15,0,33,4,2,14,1
Cameroon,0,0,0,14,41,0,60,11,2,3,2,11,1,0,0,0,0,0
Cuba,0,0,1,7,0,4,1,0,26,0,62,0,0,7,0,0,7,0
Togo,0,0,0,201,54,52,34,0,2,17,4,8,9,0,0,0,0,0
American Samoa,0,0,409,0,0,0,0,0,0,0,880,0,0,0,0,0,0,0
British Indian Ocean Territory,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,0,0,0,0,44,0,0,2,2,2105,15,18,70,91,2,0,0,0
Equatorial Guinea,0,0,0,26,2068,338,0,77,0,5,0,0,0,12,0,1,3,0
Falkland Islands (Malvinas),0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0
Nauru,0,0,0,0,0,0,0,162,0,0,0,0,0,3,1,0,0,0
Marshall Islands,0,0,0,0,22,0,0,0,0,0,0,0,0,0,17,2,0,0
