Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,36418,34378,39716,47743,63318,62221,57119,56882,67495,58717,58970,87808,55437,25001,19847,36443,46059,51741,46832,61780
China,450,365,491,692,3249,11115,7934,6092,13592,9637,10170,9502,8038,4069,4058,7703,8602,20929,6363,10742
France,929,531,438,1399,1512,1905,1753,1794,1044,1075,534,540,526,451,583,1709,1877,3378,5413,5505
Belgium,700,1878,1310,2366,2222,2386,3648,3790,5259,6633,10033,10787,11071,4199,2389,2874,3051,3556,5902,5411
United Kingdom,18228,17435,17953,18086,17762,16315,19185,20637,19412,21824,20209,20969,16678,3497,2584,2573,3293,2129,3033,5216
Viet Nam,0,3,0,0,4413,231,0,0,0,0,0,7567,2819,0,0,38,4447,2178,1924,4599
Germany,1149,676,786,1277,2084,1493,1412,1451,1639,963,1561,1127,714,572,1119,1633,1668,1876,3573,4389
Côte d'Ivoire,1105,717,2014,1127,1022,1487,219,429,714,257,452,288,916,1238,1405,5419,6829,4185,3018,4168
Poland,464,778,374,500,576,725,692,805,1599,2717,816,986,2022,958,882,1228,1387,1015,1730,2357
Japan,26,52,0,24,51,145,502,903,5960,1002,646,461,426,177,107,151,86,151,208,2064
India,3,17,13,25,125,0,435,652,779,191,133,30,10,102,44,660,325,331,1272,1791
Togo,2496,715,2050,2859,3834,906,926,2091,1969,2027,2570,2386,1704,1047,1128,2339,5041,1182,1470,1561
Lithuania,0,153,192,160,626,593,287,61,492,1149,984,601,522,133,425,855,1165,958,670,1316
Italy,581,281,80,76,296,211,146,473,248,272,124,262,86,112,359,754,810,1089,1412,1119
Canada,830,411,776,1584,1079,1497,1337,1697,1198,1512,849,881,1244,1586,1244,1400,816,570,1292,1040
Ireland,860,1563,4489,4135,5943,4390,3846,3132,1475,1686,1847,1583,1235,623,221,702,446,235,433,1036
Hungary,0,0,21,0,0,63,664,565,216,254,35,322,226,52,286,449,339,331,664,996
Slovakia,0,0,0,0,19,25,0,0,153,44,18,39,342,280,548,751,745,1200,930,944
United States of America,4992,2840,2462,3507,4334,5047,2583,2234,4304,2174,3356,2993,2275,3352,441,840,1803,1043,1072,922
Bangladesh,0,0,0,9,8,0,0,41,47,165,107,54,32,13,0,24,97,98,454,909
Nigeria,31,18,16,144,169,171,115,182,383,27,105,134,179,83,73,191,166,249,557,826
United Arab Emirates,25,6,205,121,77,137,174,148,106,387,344,140,486,324,165,244,562,763,498,591
Netherlands,455,505,936,1187,2321,1880,1493,1336,734,479,496,386,543,127,74,160,191,130,332,486
Spain,47,313,67,187,67,344,282,1346,368,413,175,100,283,188,342,578,471,381,726,448
Denmark,164,38,89,140,480,74,25,35,13,24,78,22894,0,0,1,49,56,53,99,312
Morocco,0,0,0,0,2,3,0,66,67,39,21,60,0,30,64,31,132,465,259,263
Ghana,48,46,97,188,28,49,23,256,338,60,76,66,9,21,48,8,76,45,81,261
"Hong Kong, China",64,37,0,67,98,62,6,48,8,2,4,71,68,33,68,98,9,104,31,187
Finland,0,0,0,0,0,0,0,35,16,0,0,0,0,14,0,0,45,55,234,175
Indonesia,9,0,0,0,2,0,0,4,3,59,0,0,0,0,0,8,9,0,0,151
Switzerland,0,1,0,3,12,4,15,15,30,1,2,5,2,12,1,11,65,262,194,149
Türkiye,0,0,0,0,5,0,0,0,0,26,15,64,14,42,49,49,51,1152,169,148
Honduras,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,27,17,0,0,147
Colombia,20,140,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,137
"Iran, Islamic Republic of",0,0,0,0,41,0,71,0,34,0,40,39,0,0,0,9,0,0,39,130
Romania,0,0,0,0,0,0,0,0,0,0,0,20,428,459,238,247,216,28,98,130
Malaysia,0,0,0,0,0,232,54,197,31,51,44,20,153,72,86,51,31,0,66,110
Bulgaria,20,0,0,24,0,22,27,43,0,24,0,55,0,0,0,30,134,83,78,95
Croatia,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,0,73,49,87
Gabon,0,0,0,0,0,25,0,23,12,3,0,0,6,0,0,27,8,40,34,79
Senegal,12,12,23,17,0,7,74,5,46,0,62,2,2,1,1,1,31,32,95,77
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,46,7,49,6,69
Thailand,109,444,42,532,24,19,10,19,20,139,77,24,15,53,13,4,77,95,28,67
Latvia,0,0,0,0,28,96,23,0,0,0,0,20,0,11,62,114,90,56,242,61
Pakistan,3,28,11,42,0,0,72,20,17,59,46,35,0,38,116,1809,122,300,420,61
Singapore,538,363,14,47,575,371,2674,305,116,147,290,25,0,27,25,42,9,56,355,60
"Korea, Republic of",1366,2938,3708,6138,8972,8801,5320,4653,3047,2351,1120,817,465,49,180,46,27,42,135,53
Ukraine,45,20,0,0,26,0,0,0,0,22,0,0,13,15,0,0,18,9,29,41
Kuwait,18,3,0,0,0,3,0,15,1,1,6,0,0,1,6,5,17,28,10,27
Slovenia,0,0,22,0,0,113,0,0,0,0,24,0,17,12,0,0,18,75,48,26
Lebanon,3,7,54,1,40,14,8,1,0,0,738,841,1408,518,186,47,5,86,117,19
Eswatini,0,0,0,0,1,0,0,0,0,0,20,39,0,1,1,7,0,1,7,19
Estonia,0,67,22,0,69,20,21,81,0,0,0,0,0,0,19,56,172,56,19,17
"Taipei, Chinese",20,0,0,24,94,64,23,20,0,24,0,0,0,15,0,0,0,0,0,17
Cameroon,0,0,0,0,9,0,0,0,0,0,0,0,1,1,0,0,19,47,20,16
