Exporters,Imported value in 2003,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,735,0,779,1155,1092,923,1377,1215,504,13573,73401,407,1903,1679,6416,4361,3903,28346
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8888
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7889
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6450
Pakistan,0,0,0,0,0,0,0,0,0,13301,0,0,0,0,0,0,0,2651
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897
France,57,0,362,878,543,306,151,66,0,18,12451,393,1095,1347,6389,2732,508,71
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Chad,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0
Cameroon,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0
China,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
Congo,558,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,84,0,0,0,0,0,129,0,20,0,276,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0
Italy,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,40,0
Japan,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
Morocco,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,80,0,0,0,4,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,22,0,0,0,0,0,679,0,0,0,2722,0
Saudi Arabia,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0
Spain,88,0,417,277,549,615,0,1149,504,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,2,62,0,0,0,0,1,0,0,0,1,0,0
Turks and Caicos Islands,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,23,0,0,0,0,13,0,0,0,0,120,0
United States of America,0,0,0,0,0,0,58,0,0,0,15955,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,44992,0,0,0,0,0,0,0
HHI,0.547390429,0,0.006009744,0.307281204,3.64E-05,0.394841719,0.103057056,0.819858787,1,0.953006885,0.344239534,0.919870367,0.24391279,0.406857012,0.99005618,0.359412278,0.560125278,0.210793696
