Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,3733,2395,2997,2845,3566,4685,5623,4385,6705,4111,5379,4977,3974,3968,3163,4358,4101,10159,7377,11660
China,204,199,285,259,260,566,551,460,632,735,1005,1381,815,710,1031,915,1515,7305,2693,4795
Switzerland,2,0,0,0,0,1,1,3,2,0,0,2,2,0,0,1,0,611,1300,2248
Italy,555,313,614,650,882,1214,1459,1337,613,263,38,103,47,326,494,731,560,342,215,1719
France,2048,1376,1292,1523,1827,2324,2891,2114,3158,1771,3529,2867,2494,1843,941,1141,828,808,2160,1045
Nigeria,285,29,10,17,19,71,86,61,21,4,63,12,6,11,21,24,47,51,85,311
Côte d'Ivoire,86,80,96,23,68,95,205,17,192,0,0,31,13,23,6,53,5,0,87,269
Lebanon,4,2,9,13,5,15,7,2,25,9,2,67,1,3,7,2,6,4,17,217
United Arab Emirates,4,9,2,1,1,1,0,4,21,3,11,22,0,2,14,1,2,21,167,201
Morocco,0,0,0,0,0,0,1,0,0,25,44,84,50,76,87,74,96,51,48,151
Togo,11,22,64,45,146,24,3,11,201,105,362,51,12,32,22,36,80,91,71,135
Spain,43,22,67,45,106,75,26,28,527,73,16,59,75,422,261,322,103,44,154,101
"Korea, Republic of",4,2,2,0,0,1,0,0,18,85,58,88,93,68,0,25,21,32,43,69
India,1,1,1,4,3,6,9,19,29,17,20,18,19,164,45,31,34,2,41,67
Romania,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,39,42,64
Türkiye,0,2,0,0,0,13,2,0,1,0,0,15,2,3,16,192,31,44,47,51
"Hong Kong, China",22,11,1,7,9,4,0,1,0,0,0,8,3,0,21,1,0,23,11,39
Tunisia,267,215,413,9,35,19,37,19,9,11,13,16,6,58,47,392,375,33,13,26
Burkina Faso,0,0,0,0,21,0,3,0,0,0,0,43,30,12,0,0,0,0,33,23
Germany,26,12,12,9,14,129,220,196,1062,463,126,14,72,30,48,11,43,8,3,22
Belgium,24,13,15,14,2,5,15,2,0,2,9,21,126,21,3,174,119,175,22,21
Netherlands,16,11,26,50,25,54,25,57,64,27,51,10,0,41,4,1,31,10,0,20
Singapore,24,3,0,0,1,1,5,7,0,18,12,3,0,0,0,1,11,0,0,12
Sweden,2,3,0,0,0,0,0,1,2,0,0,6,0,0,0,1,0,7,9,11
Portugal,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,2,13,7
United States of America,1,9,6,7,0,0,0,0,0,6,3,16,61,81,1,14,131,8,11,7
Ghana,0,3,0,0,7,2,1,0,4,22,0,9,36,0,0,0,2,16,30,6
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
Canada,0,1,0,3,0,20,0,21,0,19,0,1,0,1,0,0,0,19,0,4
Poland,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,5,2,3
United Kingdom,1,2,1,0,66,7,0,10,0,0,14,2,0,0,1,0,2,37,20,2
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,0,29,0,0,0,0,0,0,10,0,0,7,0,4,0,0,0,0,0,0
Gibraltar,0,0,0,122,55,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0
"Korea, Democratic People's Republic of",27,7,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
Afghanistan,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,10,28,0,1,0,0,1,0,2,0,0,0
Brazil,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,0
Cameroon,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Colombia,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Costa Rica,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11,0
Denmark,11,3,0,4,0,1,0,0,0,0,0,0,4,0,0,147,1,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Finland,0,1,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Gambia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,2,1,6,4,0,0,0,0,1,0,0,0,0,0,0,0
"Iran, Islamic Republic of",0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,55,394,0,0,0,0,0,0,0,0,1,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jamaica,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,1,4,56,2,0,1,0,0,0,0,0,4,0,8,67,10,0,1,0,0
Kenya,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
