Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018
World,447,306,366,534,809,978,739,1418,621,1449,11974,3778,8794,2128,817,1036,1156,1035
Australia,110,81,112,138,148,210,152,181,302,546,9445,1383,4235,1434,473,463,418,418
Papua New Guinea,44,40,70,88,188,186,177,159,103,211,272,282,405,65,77,154,369,263
China,0,22,0,0,0,1,84,126,74,276,1450,1344,3496,249,117,178,162,203
United States of America,6,0,0,0,0,0,14,14,41,0,2,124,78,7,0,18,6,46
Indonesia,0,0,0,0,0,0,0,0,0,0,1,3,7,1,0,85,42,30
Thailand,0,0,0,17,0,13,31,0,0,174,178,0,15,0,0,0,15,27
Malaysia,5,0,4,1,3,2,25,104,6,9,28,3,14,11,36,94,62,22
New Zealand,4,15,6,4,14,8,5,9,2,15,9,15,12,20,11,7,5,18
Fiji,0,0,0,0,2,4,0,3,0,0,7,2,19,3,5,11,0,3
"Hong Kong, China",3,12,23,17,175,231,10,252,0,1,0,2,4,3,4,4,16,3
Japan,2,0,0,4,0,0,2,0,0,4,2,4,4,0,0,0,0,1
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
Wallis and Futuna Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,244,114,106,261,249,306,185,425,6,63,35,16,13,26,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,221,157,128,0,0,0,0
"Taipei, Chinese",0,0,0,0,0,0,0,0,7,9,19,1,2,0,13,18,0,0
Morocco,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Philippines,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
India,0,0,0,0,1,0,0,0,0,51,51,90,65,163,0,0,0,0
Singapore,29,22,44,3,4,15,54,6,2,87,466,272,34,8,75,3,60,0
Spain,0,0,0,0,0,1,0,2,0,0,6,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,77,1,1,0,41,0,0,0,0,0
HHI,0.415947573,0.180321279,0.168193299,0.368195675,0.239355892,0.277792162,0.182619543,0.178531176,0.3619688,0.266469745,0.732620656,0.367696948,0.519502903,0.584454651,0.433688389,0.320734224,0.282633532,0.312820977
