Code,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
'60,1520,1941,3969,3817,3060,2859,3279,2626,5074,7703,26542,8296,20562,30929,23776,26382,24996,39848,68939,66373
'61,1511211,1865387,2089498,2487659,2550660,2828762,2389524,2945025,3843342,3799377,4540976,5076718,5550192,6057289,6348042,6586195,6001442,5188130,5819428,6367020
'62,81910,108018,112529,146248,106836,179103,46930,88320,139491,206379,265467,243161,366281,514929,681176,1241146,2285306,2296771,2198429,2668327
'63,6444,8005,13429,14904,13142,11522,9946,15471,17610,23164,52401,38767,86064,119976,126491,128984,134617,161926,193116,168944
'64,34054,40747,38129,61529,78973,87949,108470,177108,267138,277981,346061,418604,637000,774272,880311,1040417,1267884,1123081,1392218,1737107
'65,7190,7683,8029,5257,4776,5943,4108,6816,9722,10717,18228,15585,14714,15383,16116,16254,23570,31086,52358,49247
'66,1,2,0,0,21,0,0,0,0,0,1343,8629,22315,20628,16742,26749,29794,34396,28793,31640
'67,3,1,0,0,0,1,2,162,458,608,1095,546,3055,7069,8072,7678,10943,13734,18903,20806
'68,1,3,12,75,177,58,122,9,140,12,4,10,247,6,658,744,686,4519,18363,21001
'69,60,33,57,1188,967,1158,576,954,1523,1737,1616,1335,960,653,628,451,536,367,465,1066
'70,10,9,2,2,11,39,2,65,0,27,114,196,81,267,663,89,137,7888,7607,2647
'71,23816,200,14471,15675,18636,11237,78100,3866,20315,27157,7595,39847,54162,210680,239055,86009,438097,3038699,149767,261516
'72,45,101,283,426,1177,1251,1313,2686,29,359,866,1389,222,96,862,1631,1699,6308,10218,174
'73,1899,2230,1783,2400,13789,9097,4462,9502,5186,1796,10038,7567,11025,16226,28394,49451,49071,45759,74628,87247
'74,2,2,0,359,354,172,22,1,75,69,57,2,334,572,6642,5499,34141,57574,83161,68588
'75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
'76,35,7,215,685,1176,5715,6137,6189,5414,8802,11741,11261,14000,16973,22214,29159,38266,43548,68656,71980
'78,0,0,0,0,0,0,0,0,0,797,4626,6334,269,0,0,38,1276,1132,11487,25961
'79,329,124,13,0,0,0,0,0,0,12,0,0,0,3,20,0,431,3,222,83
'80,0,0,0,79,0,0,0,0,0,0,0,0,5,3,5,4,3,0,265,10
'81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0
'82,469,143,149,148,165,271,469,315,587,344,313,173,1020,634,131,450,561,663,2262,2015
'83,80,29,10,11,25,80,556,296,4086,12559,9019,1568,4869,12167,16408,14759,9198,11465,14261,29564
'84,9360,6099,3648,14065,5461,3928,10513,143715,8998,12797,28132,26750,55010,45395,76272,92939,116402,170110,204083,205568
'85,3003,1385,2107,3945,1788,3049,6655,5627,5778,37279,225017,53026,321291,430782,444128,511516,577480,762091,1081099,1998196
'86,3,7,0,0,0,0,70,2070,1,5,417,83,3873,0,0,2,3,20,139,93
'87,7106,4544,5014,43143,48816,63835,53568,103917,298121,229925,363050,4941,281295,350798,378001,404217,442321,559403,689977,1030100
'88,1130,852,504,431,34,93,677,96,426,3001,103,1167,98,91,76,466,3,15,97,338
'89,467,498,834,144,2871,33999,40946,13713,7710,763,1273,1272,1305,531,54,1229,1028,2805,10665,4660
'90,4033,1075,2737,993,1243,2251,4378,5022,5275,7650,9088,5608,17675,3706,5114,7104,5782,6295,8787,10125
'91,24,53,7,0,0,42,0,82,54,5,193,38,2406,6762,8129,8220,10595,6867,9760,10016
'92,1021,0,163,4,291,657,25,267,700,38,264,0,328,1,29,9,227,217,220,610
'93,81,79,96,105,158,83,210,202,811,566,493,0,661,0,10685,0,0,0,0,77
'94,2948,6910,5766,4043,4538,6285,11682,13497,15132,16060,21232,11373,24081,39495,78640,135007,420181,638376,872563,948258
'95,324,78,172,70,67,359,2161,1206,1251,1556,4754,7459,14469,17514,20517,28736,40378,67160,79297,107563
'96,329,265,148,475,485,161,2007,2138,798,691,367,681,5021,11847,12199,14840,16002,19259,20757,41684
'97,302,23359,35316,372,4537,235,31654,20684,2431,2962,4029,58727,521,223,201,850,301,271,86,40
'99,887,1859,1074,1113,2497,3895,11739,3680,3262,3692,2867,0,3911,3362,3184,3747,2803,1688,1588,1388
'TOTAL,2118224,2797507,3018613,3566413,3531237,4358188,4992010,5590104,6704137,5796274,6665903,6846019,8542434,9982663,11268954,12707908,14824722,17716469,17571783,20575773
