Code,2002
1,0
2,547
3,0
4,222
5,0
6,0
7,91
8,80
9,65
10,252
11,80
12,6
13,0
14,1
15,82
16,297
17,209
18,6
19,407
20,72
21,143
22,310
23,35
24,195
25,292
26,0
27,1234
28,6
29,11
30,11
31,0
32,116
33,66
34,117
35,34
36,3
37,1
38,58
39,370
40,46
41,0
42,11
43,0
44,980
45,0
46,1
47,0
48,100
49,25
50,0
51,0
52,78
53,0
54,3
55,15
56,8
57,3
58,1
59,1
60,0
61,66
62,84
63,32
64,31
65,2
66,3
67,5
68,84
69,86
70,39
71,0
72,10
73,648
74,12
76,189
78,3
79,13
80,0
81,0
82,81
83,33
84,588
85,786
86,0
87,911
88,3
89,11
90,155
91,15
92,3
93,0
94,323
95,38
96,48
97,0
99,162
TOTAL,11157
