Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,1453,0,433,3100,1182,562,1691,1206,1051,491,909,2662
China,0,0,36,184,106,20,209,346,464,218,439,1971
India,626,0,0,1070,267,0,343,30,47,20,379,312
Egypt,194,0,396,912,246,0,56,68,77,0,70,296
"Iran, Islamic Republic of",0,0,0,0,0,19,3,0,0,0,0,22
Italy,0,0,0,0,0,0,0,0,0,0,0,21
Poland,0,0,0,0,17,83,0,0,0,0,0,14
Pakistan,0,0,1,0,4,3,126,3,385,118,0,9
Sweden,0,0,0,0,0,0,0,0,0,0,0,8
Türkiye,14,0,0,209,0,199,16,18,36,26,0,5
Germany,0,0,0,12,351,53,1,0,0,0,0,3
Japan,0,0,0,0,1,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,251,0,0,796,343,28,34,0,0
Malaysia,0,0,0,0,0,0,0,45,0,0,0,0
Russian Federation,0,0,0,358,138,0,0,0,0,0,18,0
Saudi Arabia,108,0,0,105,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,70,0,0,0,0,0
United Arab Emirates,511,0,0,0,0,184,73,354,13,76,3,0
United Kingdom,0,0,0,0,51,0,0,0,0,0,0,0
HHI,0.234496412,0,0.806752302,0.202673518,0.181264088,0.221068734,0.322810754,0.23390207,0.327703939,0.217157572,0.354129768,0.646026564
