Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,13634,3640,1886,11943,444,390,1521,583
South Africa,5636,3453,954,11263,31,10,1419,446
Ukraine,0,0,0,0,0,0,0,50
Congo,0,0,0,0,0,0,8,38
France,0,0,2,4,8,0,0,17
Belgium,0,11,17,1,0,0,0,15
China,0,0,0,0,4,6,0,7
Zambia,4,11,7,131,2,21,18,4
India,6433,0,0,0,3,0,0,2
United Arab Emirates,160,81,0,8,7,6,5,2
"Tanzania, United Republic of",0,0,4,2,50,16,6,2
Angola,0,0,0,30,1,0,0,0
Austria,0,0,0,0,0,0,5,0
Bangladesh,82,0,0,0,0,0,8,0
Botswana,0,0,0,0,0,0,1,0
Burundi,2,0,2,0,0,0,0,0
Canada,5,13,9,0,0,0,0,0
Gabon,0,0,0,0,77,0,3,0
Ghana,0,0,0,12,6,0,3,0
Côte d'Ivoire,0,0,1,0,2,275,0,0
Kenya,8,0,0,0,23,0,3,0
Lao People's Democratic Republic,0,0,0,0,0,3,0,0
Liberia,0,17,0,0,0,0,0,0
Malawi,0,0,0,0,3,0,0,0
Mali,0,0,1,1,8,0,7,0
Mauritania,0,0,0,1,0,0,0,0
Morocco,0,0,0,479,26,49,0,0
Mozambique,0,0,0,3,0,0,0,0
Nepal,0,0,11,0,0,0,0,0
Pakistan,0,0,0,0,159,0,0,0
Rwanda,0,0,842,0,0,0,0,0
Spain,0,4,0,0,2,0,0,0
Togo,0,3,0,0,0,0,0,0
Uganda,11,47,19,5,11,0,11,0
Egypt,1293,0,0,0,20,0,0,0
United Kingdom,0,0,0,0,0,3,0,0
United States of America,0,0,0,0,1,0,0,0
Burkina Faso,0,0,0,2,0,0,0,0
Uruguay,0,0,17,2,0,0,26,0
HHI,0.465567661,0.923506024,0.550162484,0.924485734,0.26741051,0.580440684,0.908925124,0.669012563
