Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,7,10,8,21,11,9,10,10,2,344,247,3,22,11,50,51,50,90,9,59
India,0,0,0,0,0,0,0,0,0,0,151,0,0,0,26,2,31,51,0,35
China,0,0,0,0,0,0,1,5,0,329,0,0,0,2,24,42,5,35,7,22
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
Belgium,0,4,0,0,0,5,0,1,0,7,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Germany,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,7,7,8,4,8,2,8,1,0,0,4,2,0,1,1,5,0,0,0,0
Kenya,0,0,0,17,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,2,0,2,2,0,91,0,0,1,0,2,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"Tanzania, United Republic of",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,14,0,1,0
HHI,1,0.338413412,1,0.425151984,0.145270646,0.144172502,0.338413412,0.214317553,1,0.898011153,0.323204184,0.130590976,1,0.269393708,0.30901364,0.6623936,0.2608644,0.376343339,0.268245951,0.293737574
