Importers,Exported value in 2003,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,46,56,25,26,26,404,46,269,114,1,376,538,9297,9471,132,293,192,8844
Cameroon,1,0,0,0,10,160,16,78,78,0,145,0,37,153,0,0,5,8236
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
France,5,50,24,22,17,229,0,6,1,0,0,146,2261,8884,84,169,22,183
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,182
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Chad,18,0,0,0,0,2,0,0,0,1,0,14,0,0,0,33,23,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,1798,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,366,0,4,0,0,0,0
Canada,0,3,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0
China,14,2,0,0,0,0,2,0,26,0,0,0,58,393,39,0,9,0
Congo,0,0,0,0,0,0,0,185,0,0,0,0,219,0,0,17,79,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,4923,0,0,21,11,0
Denmark,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0
Guinea,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,0
Japan,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Namibia,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,9,0,0,0,0,20,0,0,1,0
Senegal,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Togo,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
United States of America,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
HHI,0.206964369,0.790707305,0.866275402,0.501472728,0.175740946,0.384493366,0.246955114,0.493406227,0.451164612,1,0.05260823,0.466249423,0.348466463,0.905764293,0.300175918,0.364649357,0.238252719,0.877074844
