Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,18508,17102,8320,7172,5343
Dominican Republic,18291,16900,7077,7094,5186
Belgium,0,0,0,4,45
Morocco,0,0,322,0,38
United States of America,54,201,59,56,27
Colombia,0,0,0,0,25
Costa Rica,0,0,0,0,13
Spain,0,0,0,0,9
Argentina,0,0,4,0,0
China,0,0,737,7,0
France,1,0,0,3,0
Germany,0,0,0,4,0
Jamaica,0,0,121,0,0
Panama,77,0,0,0,0
Peru,0,0,0,4,0
India,0,0,0,1,0
Uruguay,84,0,0,0,0
HHI,0.978832379,0.959911689,0.757042158,0.983225594,0.95290831
