Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,41,62,18,6,0,0,12,20
Nigeria,0,0,0,0,0,0,12,17
Burundi,0,0,0,0,0,0,0,2
Lebanon,0,0,0,0,0,0,0,0
Angola,0,0,2,1,0,0,0,0
China,9,9,0,0,0,0,0,0
"Hong Kong, China",0,9,0,0,0,0,0,0
Rwanda,23,38,6,2,0,0,0,0
Slovakia,2,0,0,0,0,0,0,0
Uganda,5,6,10,3,0,0,0,0
"Tanzania, United Republic of",2,0,0,0,0,0,0,0
HHI,0.309813453,0.307148361,0.189262936,0.109450668,0,0,1,0.507882558
