Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,447,0,73,28,65,2,1,113
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,81
Kenya,0,0,0,0,0,0,0,21
China,0,0,0,0,0,0,0,8
France,0,0,14,1,4,0,0,1
Uganda,400,0,1,13,4,1,1,1
"Tanzania, United Republic of",0,0,0,0,0,0,0,0
Angola,0,0,0,1,0,0,0,0
Belgium,0,0,0,12,0,0,0,0
Cameroon,36,0,0,0,0,0,0,0
Gabon,0,0,0,0,23,0,0,0
Germany,0,0,0,0,0,0,0,0
Greece,0,0,0,0,1,0,0,0
Rwanda,10,0,0,0,0,1,0,0
South Africa,0,0,0,0,32,0,0,0
Zimbabwe,0,0,0,0,1,0,0,0
Sweden,0,0,0,2,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0
Türkiye,0,0,21,0,0,0,0,0
Zambia,0,0,38,0,0,0,0,0
HHI,0.760439717,0,0.250107896,0.344914314,0.345805889,0,1,0.536882016
