Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,592,80,77,0,0,0,0,0,0,7200,36820,69634,24550,31596,18666,53815,65358,185932
China,0,0,0,0,0,0,0,0,0,1941,5925,3916,7207,7663,3760,31737,20807,132509
Spain,573,0,0,0,0,0,0,0,0,1907,527,2168,3680,3086,4449,8114,11737,14910
Italy,0,0,0,0,0,0,0,0,0,2308,500,2081,1294,1308,358,1720,2964,5595
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,1381,1304,529,0,1273,5437
Portugal,0,0,0,0,0,0,0,0,0,133,4,1350,486,219,975,1121,2178,5221
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1696,4056
Poland,0,0,0,0,0,0,0,0,0,233,111,348,409,488,35,802,447,3007
"Taipei, Chinese",0,0,0,0,0,0,0,0,0,233,0,591,180,313,453,506,2593,2778
"Congo, Democratic Republic of the",18,0,0,0,0,0,0,0,0,0,19954,56890,6144,1881,4662,1248,3470,2022
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,425,887,1407,2855,1417,2165,1430,1977
Cameroon,0,17,0,0,0,0,0,0,0,0,0,0,1230,7679,897,3882,8797,1914
Namibia,0,0,0,0,0,0,0,0,0,0,0,5,7,248,2,2,475,1279
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,1053
India,0,0,0,0,0,0,0,0,0,232,8599,311,372,584,130,229,47,1047
Brazil,0,2,0,0,0,0,0,0,0,0,0,48,0,0,0,1144,0,814
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,0,0,0,365
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,35,173
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
Congo,0,44,0,0,0,0,0,0,0,0,18,2,93,362,448,599,6008,136
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
United States of America,0,16,1,0,0,0,0,0,0,0,123,0,1,0,0,3,18,39
South Africa,1,0,12,0,0,0,0,0,0,0,3,19,2,386,3,0,20,29
France,0,0,53,0,0,0,0,0,0,0,0,8,8,32,0,9,5,11
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8
Egypt,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,7
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
Belgium,0,0,11,0,0,0,0,0,0,0,1,0,5,34,8,77,34,4
United Kingdom,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,5,2
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
Germany,0,0,0,0,0,0,0,0,0,0,46,50,54,4,0,0,6,1
Netherlands,0,0,0,0,0,0,0,0,0,0,0,81,18,103,0,0,15,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,73,0,85,0,26,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,267,0,269,1897,500,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1077,0
"Hong Kong, China",0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,30,0,10,9,0,0,0
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,74,5,0,378,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,512,0,6,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,75,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
