Exporters,Imported value in 2002
World,786
Fiji,197
Japan,127
Singapore,118
Australia,111
New Zealand,70
Finland,47
Thailand,47
United States of America,26
China,20
Malaysia,8
Indonesia,4
United Kingdom,4
Germany,2
"Hong Kong, China",2
Philippines,2
HHI,0.171254629
