Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,535,0,547,1108,532,347,851,364,987,76734,118315,68911
Kazakhstan,0,0,31,74,141,278,121,302,987,34615,43433,26492
India,0,0,0,0,0,0,0,0,0,19935,43114,16184
United States of America,0,0,0,0,0,0,0,0,0,271,2195,8085
Bangladesh,0,0,0,0,0,0,0,0,0,878,2836,5186
Uzbekistan,524,0,516,1034,391,0,709,0,0,6951,11730,4575
China,0,0,0,0,0,0,0,0,0,7893,6149,3977
"Iran, Islamic Republic of",0,0,0,0,0,0,0,58,0,1403,2111,1570
Pakistan,3,0,0,0,0,69,22,0,0,1394,1196,1047
Tajikistan,0,0,0,0,0,0,0,4,0,2923,4558,659
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,32,490
Turkmenistan,0,0,0,0,0,0,0,0,0,11,177,370
Bulgaria,0,0,0,0,0,0,0,0,0,5,0,97
Germany,0,0,0,0,0,0,0,0,0,58,59,66
Italy,0,0,0,0,0,0,0,0,0,10,24,34
Netherlands,0,0,0,0,0,0,0,0,0,74,70,31
Mexico,0,0,0,0,0,0,0,0,0,0,0,11
Mozambique,0,0,0,0,0,0,0,0,0,0,0,11
Ecuador,0,0,0,0,0,0,0,0,0,0,0,10
France,0,0,0,0,0,0,0,0,0,0,20,9
Türkiye,0,0,0,0,0,0,0,0,0,12,15,4
Thailand,0,0,0,0,0,0,0,0,0,0,0,3
Japan,0,0,0,0,0,0,0,0,0,1,1,1
Russian Federation,8,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,298,595,0
HHI,0.951660782,0,0.812314144,0.780123991,0.253278664,0.404086745,0.634635026,0.633039331,1,0.393259473,0.387556369,0.339941188
