Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,3,4,3,3,0,0,29,2
Australia,0,0,0,0,0,0,0,1
Zambia,0,0,0,0,0,0,0,1
Belgium,0,0,0,0,0,0,1,0
Brazil,0,0,0,2,0,0,2,0
China,2,4,0,0,0,0,1,0
India,0,0,0,0,0,0,24,0
South Africa,1,0,2,1,0,0,0,0
Türkiye,0,0,0,0,0,0,1,0
United States of America,0,0,1,0,0,0,0,0
HHI,0.130590976,1,0.130590976,0.130590976,0,0,0.697170114,0
