Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018
World,110,10,21,58,59,22,16,6,0,4,22,76,35,41,36,41,22,24
Australia,110,1,0,17,0,1,0,0,0,0,20,76,35,41,36,41,13,22
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
Papua New Guinea,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nauru,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
China,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0,7,14,40,59,21,16,6,0,4,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,1,0.44222051,0.130590976,0.144246656,1,0.848501418,1,1,0,1,0.705097496,1,1,1,1,1,0.039579909,0.807307705
