Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,20326,20686,35380,50475,101260,105248,93455,88387,97007,131656,111928,81448
"Iran, Islamic Republic of",372,462,3768,1700,28511,29005,29397,9413,12286,25112,18009,17369
Pakistan,8181,3855,12866,34849,22543,27749,43340,38427,50033,37961,21618,14566
Ireland,445,539,1525,1183,3569,7791,3657,4286,3622,6107,4710,8343
Uzbekistan,91,148,36,1,304,310,0,2933,10169,14404,11142,6409
India,3708,12619,5774,5420,13090,5322,4292,8116,3141,6676,10681,5567
Kazakhstan,0,59,0,16,0,0,0,1000,623,14860,18930,4840
France,63,212,340,347,26,1813,661,5723,2086,3669,3949,4436
Viet Nam,32,0,73,0,0,0,0,35,293,1052,1676,3888
Netherlands,427,1120,1927,3046,1320,432,686,1991,1420,1703,2478,3648
Türkiye,167,0,84,435,1232,2256,1525,182,1097,5769,1942,2325
United States of America,2098,541,1532,441,623,67,997,4368,737,5326,3794,2227
Poland,307,87,25,179,404,707,530,1134,878,2091,2443,1892
New Zealand,61,0,0,95,1751,534,0,181,220,388,1661,1598
Belgium,633,210,3364,749,12,204,90,831,254,1422,1639,907
"Korea, Republic of",0,0,0,0,0,73,186,222,73,148,266,726
United Arab Emirates,839,208,722,563,19709,27592,4471,2792,1579,464,322,600
Ukraine,0,0,150,14,88,114,28,1244,86,132,184,562
Denmark,0,0,2,77,259,181,213,319,195,501,666,486
Austria,0,0,61,76,3,121,128,66,166,361,316,236
China,600,40,633,218,1477,238,1044,711,645,553,121,151
Germany,25,0,38,32,17,97,138,44,1,292,67,88
Thailand,225,0,170,18,1,0,16,0,32,78,68,84
Japan,156,0,58,338,28,362,473,967,0,111,176,82
United Kingdom,24,0,0,0,0,2,0,0,0,32,117,75
Saudi Arabia,19,26,828,293,41,7,0,66,35,72,88,66
Indonesia,0,7,149,24,0,0,0,0,0,0,1,55
Aruba,0,0,0,0,0,0,0,0,0,0,34,51
Kuwait,0,0,0,0,0,0,0,0,0,466,420,40
Malaysia,57,72,0,151,433,6,170,100,143,90,89,40
Azerbaijan,0,0,0,0,339,0,30,0,0,151,75,34
Singapore,147,60,184,30,139,71,367,188,86,204,126,28
Australia,68,0,294,34,341,0,0,0,0,0,14,20
Turkmenistan,16,0,0,0,0,0,439,2798,7009,1336,3768,6
Italy,0,0,185,6,1,34,91,0,1,1,9,3
Marshall Islands,0,0,0,0,0,33,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,82,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,1,0
Brazil,32,0,0,0,0,1,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,14,0,0,0
Canada,1440,0,367,0,28,0,0,0,0,0,237,0
"Hong Kong, China",29,0,0,97,0,0,0,112,0,0,0,0
Kenya,0,0,0,0,70,0,119,0,0,0,0,0
"Taipei, Chinese",0,0,0,0,37,0,0,0,0,0,0,0
Russian Federation,61,290,0,0,65,123,176,42,0,0,0,0
South Africa,0,0,0,0,0,0,0,45,0,0,0,0
Spain,0,0,25,0,0,0,5,39,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,1,0,0,0
Switzerland,0,0,0,0,4718,3,11,0,80,0,0,0
Tajikistan,3,131,84,0,0,0,160,10,0,123,7,0
Egypt,0,0,115,44,83,0,16,0,0,0,0,0
HHI,0.343173545,0.535558025,0.303943622,0.635274717,0.311668618,0.352017207,0.469407605,0.355631776,0.448974601,0.262074635,0.216608242,0.197741414
