Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,465,540,592,692,660
China,73,61,81,52,224
United States of America,100,115,237,126,145
"Hong Kong, China",142,52,96,267,132
India,25,170,133,103,78
Costa Rica,0,0,0,0,28
Dominican Republic,18,30,6,11,18
Netherlands,1,0,2,0,15
Mexico,0,1,1,19,10
Japan,0,0,0,57,4
Canada,3,0,19,1,2
Italy,0,1,0,1,2
Panama,1,68,1,10,1
Argentina,0,4,0,0,0
Belgium,0,0,3,0,0
Colombia,0,3,2,4,0
France,60,1,0,3,0
Germany,0,6,0,39,0
Jamaica,37,0,0,0,0
"Korea, Republic of",1,0,0,0,0
"Taipei, Chinese",4,29,11,0,0
HHI,0.209609705,0.217068788,0.307265549,0.266821572,0.254715601
