Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,29184,14784,29254,33265,89010,100899,75267,33083,34591,30637,36474,26079
China,466,467,1756,2466,3800,4005,7068,4540,6472,11880,9982,8706
Indonesia,2238,107,2315,973,1416,3025,4156,4187,3546,308,4383,4792
"Iran, Islamic Republic of",6474,5858,7214,10924,23461,37261,25778,10210,7282,10102,10056,4569
Pakistan,1969,895,3936,6654,17800,7779,15580,6710,11326,4685,4728,3400
United Arab Emirates,3217,27,778,1482,21026,24697,6759,1986,2332,1436,1889,1393
Viet Nam,6,0,15,10,0,0,188,244,200,1039,995,833
Malaysia,1062,478,979,334,649,1734,3236,754,1306,22,2161,658
Uzbekistan,4135,630,488,776,937,2915,1255,1113,364,279,759,499
Russian Federation,3653,2926,3693,2899,2076,3075,5877,1375,176,26,338,298
Türkiye,2139,1920,2994,1891,10332,12976,2607,693,806,456,271,243
Saudi Arabia,611,76,422,294,24,333,338,0,0,0,54,162
India,473,61,400,1043,942,751,374,185,138,240,312,148
Thailand,943,8,714,193,1601,89,611,16,11,119,25,121
United Kingdom,408,232,945,820,2494,1032,102,629,264,18,98,76
Turkmenistan,126,11,108,16,43,11,0,39,0,0,0,59
United States of America,0,7,104,68,4,0,5,0,0,2,5,36
Germany,41,1051,1364,63,654,542,309,87,96,25,296,33
Belgium,0,0,0,0,0,0,0,0,0,0,0,32
Kazakhstan,159,0,322,253,642,54,0,0,0,0,0,13
Austria,0,0,0,0,0,0,0,0,0,0,0,5
Tajikistan,0,1,21,7,157,445,157,28,0,0,0,4
Egypt,620,0,0,339,247,27,246,0,6,0,65,2
"Korea, Democratic People's Republic of",22,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,3,0,0,0,0,0,0
Argentina,38,0,0,0,25,0,8,0,0,0,0,0
Bangladesh,11,0,0,0,0,0,0,0,0,0,0,0
Canada,47,0,15,71,20,0,0,0,0,0,0,0
France,21,0,0,0,0,0,0,0,0,0,2,0
Greece,0,0,0,0,0,0,0,0,3,0,0,0
"Hong Kong, China",0,0,38,17,0,0,0,0,0,0,0,0
Italy,0,0,0,4,84,0,0,0,0,0,0,0
Japan,59,29,64,232,37,0,0,0,0,1,1,0
Kenya,0,0,0,0,318,108,14,0,0,0,0,0
"Korea, Republic of",0,0,41,397,38,28,0,0,77,0,0,0
"Taipei, Chinese",0,0,526,881,52,0,80,0,0,0,0,0
Oman,0,0,0,0,0,0,0,0,0,0,54,0
Netherlands,16,0,0,0,0,0,14,0,47,0,0,0
New Zealand,16,0,0,0,1,0,0,0,0,0,0,0
Singapore,214,0,0,157,63,0,503,233,32,0,0,0
South Africa,0,0,0,0,0,9,0,0,0,0,0,0
Ukraine,0,0,0,0,64,0,0,54,109,0,0,0
HHI,0.185244787,0.313571193,0.182361852,0.272936628,0.297116424,0.329923399,0.286836062,0.245418499,0.293487562,0.380095581,0.273153808,0.294723108
