Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,551,493,489,439,997
Argentina,0,0,0,0,537
United States of America,317,285,370,354,300
Dominican Republic,189,169,68,51,71
Netherlands,0,0,11,5,53
Costa Rica,0,0,0,0,10
Spain,0,6,0,6,10
Ecuador,0,0,0,0,5
Italy,0,0,6,5,5
France,0,0,9,1,3
Brazil,0,0,0,0,2
Panama,2,1,0,0,1
Canada,0,0,0,1,0
Germany,4,8,9,0,0
"Taipei, Chinese",28,17,11,9,0
Thailand,12,7,3,7,0
HHI,0.445948048,0.474999515,0.645040953,0.723096224,0.461048103
