Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,13006,13875,13418,13996,15503
United States of America,4589,4354,4271,3911,6758
China,2188,1867,1626,2853,2404
Belgium,21,1033,1580,1799,1884
India,163,140,341,994,942
"Korea, Republic of",2171,2349,1104,529,676
Dominican Republic,979,614,395,1486,639
Netherlands,375,931,709,686,601
"Korea, Democratic People's Republic of",359,0,314,0,302
"Hong Kong, China",64,400,1021,607,295
Germany,308,402,180,287,284
Uruguay,0,70,109,116,165
Spain,18,32,257,45,125
United Kingdom,146,232,142,95,88
France,58,83,46,79,63
Trinidad and Tobago,29,0,0,59,58
Mexico,173,164,29,52,54
Denmark,0,0,44,18,43
Indonesia,121,174,1062,158,30
Malaysia,24,84,40,93,30
Suriname,0,0,0,0,18
Chile,20,70,42,4,17
Türkiye,0,0,0,0,15
Brazil,0,0,0,0,6
Eswatini,0,0,0,0,5
Peru,0,0,0,0,2
Canada,22,39,8,0,1
Bahamas,108,78,0,0,0
Cambodia,0,20,0,0,0
Colombia,0,0,0,10,0
Costa Rica,0,0,19,9,0
El Salvador,0,0,0,6,0
Guatemala,34,0,0,0,0
Ireland,0,0,0,11,0
Italy,6,1,0,0,0
Jamaica,498,239,33,29,0
"Taipei, Chinese",483,252,0,19,0
Mongolia,0,1,0,0,0
Nigeria,0,0,21,0,0
Panama,49,0,0,39,0
Senegal,0,0,0,1,0
Singapore,0,243,24,0,0
Viet Nam,0,1,0,0,0
HHI,0.29775535,0.254703089,0.237125212,0.25543912,0.364157765
