Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,129984,120247,110972,110206,77882
Dominican Republic,70244,80596,65257,50681,19343
Türkiye,139,56,73,1442,15952
Morocco,0,0,0,12804,15078
Portugal,0,0,0,4491,6677
Spain,823,4350,10966,3331,5988
United States of America,15601,10505,10201,8575,4104
Colombia,3708,15782,8880,12101,3440
Mexico,4657,682,2702,6311,2484
Jamaica,4075,1238,3019,4490,1472
"Venezuela, Bolivarian Republic of",0,0,0,428,841
Cuba,22857,10,216,355,778
Belgium,78,0,32,76,761
Italy,0,3,1,29,383
France,48,19,12,54,219
Netherlands,571,106,129,260,126
China,73,30,41,217,57
Barbados,151,134,234,239,56
Brazil,0,15,45,0,55
Guatemala,0,10,29,51,45
United Kingdom,86,26,6,0,11
Peru,11,0,5,5,5
India,9,10,5,1,4
Canada,3,3,10,3,2
United Arab Emirates,0,0,0,29,2
British Virgin Islands,0,10,0,0,0
Antigua and Barbuda,230,0,0,833,0
Bahamas,2,0,0,0,0
"Bolivia, Plurinational State of",0,224,0,330,0
Dominica,3850,2494,3000,1195,0
Ecuador,0,0,0,1,0
Gabon,0,0,4,0,0
Germany,36,117,208,53,0
Greece,0,0,2030,1803,0
Honduras,2584,3805,3701,0,0
Ireland,21,0,0,0,0
Japan,0,0,158,0,0
Jordan,3,0,0,0,0
"Korea, Republic of",0,1,0,0,0
Curaçao,124,0,1,0,0
Pakistan,0,17,0,0,0
Panama,0,0,1,0,0
Eswatini,0,2,0,0,0
Ukraine,0,1,5,19,0
HHI,0.480778964,0.616914729,0.522920502,0.387538595,0.24741507
