Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,918216,848207,1503642,1929296,1287143,1070119,1758359,3149003
China,263555,149508,546556,796445,595855,196790,647965,2004123
Zambia,496216,590970,637396,875717,519138,654426,882482,659695
"Hong Kong, China",0,2254,6092,11837,14243,25038,42569,144592
"Korea, Republic of",0,0,0,0,0,0,0,93962
Singapore,150,2385,87666,8463,1019,461,0,77331
United Arab Emirates,23589,27167,127376,172589,49751,50931,73865,77225
Malaysia,15558,12694,12799,10287,44005,67607,18187,47371
Thailand,0,5359,21797,31860,26010,59416,72239,25461
Luxembourg,23095,4750,6028,6040,5402,2583,6888,7882
Belgium,4754,6396,4223,2636,1212,1596,1646,6787
Rwanda,0,0,0,0,0,20,1556,3207
Switzerland,9543,12071,10919,3305,1312,539,1704,1174
Mauritius,0,0,0,0,0,0,0,185
Burundi,0,0,0,0,0,0,0,4
South Africa,76004,24474,39027,3824,28813,10431,9203,2
Finland,0,0,0,0,0,0,0,1
France,0,1,0,1,0,0,0,0
India,0,0,0,178,6,0,0,0
United States of America,2083,1746,628,795,48,0,0,0
Angola,0,0,0,542,0,107,0,0
Australia,0,2,0,1,1,0,0,0
Canada,46,0,1,0,0,0,0,0
Cayman Islands,0,0,0,2,0,0,0,0
Cyprus,0,0,368,0,0,0,0,0
Czech Republic,0,0,0,0,0,11,0,0
Italy,0,0,0,0,0,34,51,0
Japan,0,0,0,0,0,1,0,0
Lao People's Democratic Republic,1286,0,0,0,0,0,0,0
Mali,143,0,0,0,0,0,0,0
Morocco,0,4,0,0,0,0,0,0
Netherlands,0,228,761,344,0,0,0,0
Viet Nam,0,0,0,0,331,125,0,0
Zimbabwe,20,0,0,0,0,0,0,0
Eswatini,0,0,1417,968,0,0,0,0
Türkiye,0,2,0,0,0,0,0,0
Uganda,0,287,0,3,0,0,0,0
"Macedonia, North",0,12,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,4,3,0
"Tanzania, United Republic of",2174,7895,590,3459,0,0,0,0
HHI,0.486221883,0.639911062,0.430626374,0.514374433,0.483689461,0.537314822,0.482452506,0.56450479
