Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018
World,16931,23100,34273,50403,59769,85707,135942,125107,129256,128254,204804,206024,253960,273830,288069,321729,353326,426694
China,1472,7501,14472,22466,33553,53159,94636,93514,96367,109105,177460,175814,215311,253488,229755,273227,308143,358479
India,938,1417,196,0,0,1326,0,0,0,52,5103,6544,1704,0,28842,17238,17608,28856
"Taipei, Chinese",0,0,145,89,10,18,30,7,16,10,1516,2653,12134,2902,4943,5912,6011,9699
"Hong Kong, China",279,2677,80,513,440,387,647,301,247,714,334,143,420,645,1132,3809,1238,5521
Philippines,5837,5981,6308,6666,4190,4895,8294,5521,4493,6863,5976,5625,8954,3458,7122,5069,3762,5477
Singapore,53,87,0,529,0,590,161,24,0,0,0,0,0,209,0,903,2774,5018
"Korea, Republic of",4316,111,5865,11810,10661,9200,5713,9081,7555,5615,4639,5973,4779,4841,4328,3425,4134,4354
Viet Nam,0,0,0,33,194,711,2607,4359,808,163,682,20,0,389,958,4881,4553,3484
New Zealand,133,168,312,317,460,1290,951,1224,2229,1366,1538,2104,3371,2333,1803,1981,1785,3368
Australia,541,551,1090,2063,1489,2858,3201,2317,1779,2074,2264,2785,2782,2966,1625,2270,1742,2269
Malaysia,240,0,0,5,384,64,275,295,33,178,1871,611,498,367,2724,226,333,82
New Caledonia,88,54,43,33,130,66,450,323,290,240,265,571,596,720,333,125,103,33
Vanuatu,33,7,9,6,1,2,43,523,13,38,0,157,281,45,33,0,1,29
Wallis and Futuna Islands,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,19
Fiji,39,17,13,45,11,17,41,101,7,20,28,21,15,7,25,25,7,6
Netherlands,58,0,0,0,0,7,21,0,0,0,0,0,0,0,1,0,0,1
"Korea, Democratic People's Republic of",0,1535,0,0,0,0,5555,0,0,0,0,0,0,0,379,261,110,0
Nauru,0,0,0,0,0,0,0,0,0,0,0,8,0,6,3,0,1,0
Niue,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
United States Minor Outlying Islands,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,285,893,1222,244,0
Belgium,17,0,0,0,14,0,0,0,3,0,0,1,0,15,33,55,0,0
Solomon Islands,0,0,0,0,0,0,0,0,1128,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0
Cook Islands,1,1,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
France,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,107,101,76,39,11,8,0,0,0,0,0,0,0,0,0,0,0,0
Germany,10,0,0,0,0,28,294,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,0,0,0,1,7,116,0,0,0,3,14,0,0,13,0,0,0
Indonesia,0,0,2060,0,1,27,828,743,0,0,0,346,0,299,18,0,0,0
Japan,2600,1497,2794,3460,4379,9390,8973,3736,2268,1408,999,2284,268,615,1770,779,778,0
Oman,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Palau,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,0,0,0,1,0,0,138,38,6,31,2,0,0,0,0,11,0,0
South Africa,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,188,0,11853,0,0,0,2171,0,399,0,0,0
Thailand,169,1393,679,2306,3739,1653,2482,2982,149,371,2119,347,662,234,787,0,0,0
Tonga,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0
United Kingdom,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
United States of America,1,1,129,10,99,0,1,3,0,4,0,0,0,0,0,0,0,0
HHI,0.315848025,0.27405379,0.344221658,0.401329467,0.486887679,0.546386889,0.633478509,0.681277027,0.681866839,0.807010359,0.825600633,0.813542758,0.804207094,0.904873703,0.754592461,0.807460216,0.835171472,0.79145219
