Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,13695,10328,18585,20660,37490,55097,38773,20038,21350,65237,70730,51904
China,7200,7137,6904,11626,3299,3920,12675,8484,13611,22083,22707,30999
"Iran, Islamic Republic of",1101,1392,3271,3797,6997,23857,18321,7611,5840,25682,31696,14497
Indonesia,1681,308,5505,2478,1077,7435,1748,1818,857,3002,2494,1842
Pakistan,959,251,534,1308,7053,245,2597,684,488,12462,10912,1640
United Arab Emirates,1160,98,230,66,15222,15902,2195,833,164,299,497,1086
India,248,103,0,15,4,0,0,0,38,112,681,719
France,677,693,1586,736,0,83,171,318,210,941,825,521
Türkiye,75,50,139,0,310,3497,649,145,98,498,688,225
Sweden,0,0,0,0,0,0,0,0,0,0,0,113
Bangladesh,0,0,0,0,0,0,0,10,0,105,97,88
Canada,0,0,0,0,0,0,0,0,0,0,5,63
Uzbekistan,0,0,0,0,164,0,0,0,0,54,113,50
United States of America,0,0,12,9,2,0,24,12,0,0,12,28
Russian Federation,39,0,0,0,0,157,0,0,0,0,0,16
Japan,15,31,206,230,0,0,0,6,0,0,0,10
Finland,0,0,0,0,0,0,0,0,0,0,0,5
Germany,0,2,26,78,46,0,0,0,12,0,0,1
Turkmenistan,0,0,0,8,20,0,0,44,2,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,1,0
"Hong Kong, China",0,18,28,31,2658,0,0,64,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,2,0
Kenya,0,0,0,0,0,0,0,1,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,315,0,0,0,0,0
Malaysia,0,0,0,12,21,0,19,0,2,0,0,0
Saudi Arabia,477,239,128,229,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,59,10,0,0,0,0
Tajikistan,0,6,0,0,9,0,0,0,0,0,0,0
Thailand,62,0,18,0,0,0,0,0,12,0,0,0
United Kingdom,0,0,0,39,608,0,0,0,16,0,0,0
HHI,0.382005874,0.597076919,0.328835234,0.472353834,0.324660233,0.29770459,0.403418143,0.425133697,0.578480339,0.349778339,0.418415791,0.553252272
