Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,3397,6235,10226,15242,46006,43610,20303,8565,23737,16094,19516,17436
Pakistan,2302,5617,8480,12960,28546,19692,13226,6907,22176,9792,10998,13787
China,61,180,385,598,40,263,289,158,109,2735,4419,1396
"Iran, Islamic Republic of",780,295,585,0,3895,20353,4094,656,993,2179,2489,1291
United Arab Emirates,16,37,103,247,5557,0,2105,778,291,1176,933,400
India,0,10,2,54,19,39,0,23,53,40,427,240
"Korea, Republic of",0,0,0,0,0,9,5,0,0,5,94,177
Turkmenistan,0,0,30,0,0,0,0,0,0,0,64,36
United States of America,0,0,30,349,8,0,14,0,36,16,11,32
Germany,0,2,21,134,164,120,34,0,1,1,16,21
United Kingdom,15,0,0,45,4459,0,0,0,0,7,0,20
Türkiye,98,52,315,142,943,3099,399,21,33,31,36,13
Netherlands,0,4,0,0,39,0,0,0,0,0,0,9
Thailand,27,0,21,1,0,0,0,0,0,0,0,6
Japan,1,0,26,230,17,0,0,0,0,0,0,4
Romania,0,0,0,0,0,0,0,0,0,0,0,2
"Korea, Democratic People's Republic of",3,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,63,184,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,2,2,0
"Hong Kong, China",0,0,22,1,0,0,0,0,0,0,0,0
Ireland,0,23,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,11,0,0
Kenya,0,0,0,0,0,0,66,0,0,0,0,0
Malaysia,0,0,0,14,0,0,0,21,0,0,0,0
"Taipei, Chinese",0,0,25,0,459,1,0,0,9,91,0,0
Panama,0,0,0,0,0,0,0,0,0,3,0,0
Russian Federation,8,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,44,15,87,276,45,0,0,0,0,0,0,0
Singapore,0,0,18,0,0,0,0,0,0,0,0,0
Slovakia,2,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,1,0,0,0,0,0
Tajikistan,14,0,13,7,1814,34,27,0,36,0,0,0
Uzbekistan,27,0,0,0,0,0,42,0,0,3,28,0
HHI,0.613174865,0.857636801,0.779273442,0.800714689,0.517858814,0.479953603,0.564479747,0.703148675,0.905336446,0.528460455,0.469761757,0.728666982
