Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,16819,20309,20127,18036,14310,17049,19074,31163
Belgium,5191,5963,5414,4158,1893,3426,6966,9499
Italy,375,1631,1028,4015,3036,2451,1676,4101
France,341,490,833,898,815,750,1077,2797
Germany,180,105,284,1151,1613,2958,1688,2639
United States of America,629,486,664,668,658,859,1412,1284
Eswatini,702,105,0,367,82,31,367,1230
Netherlands,404,261,419,220,309,0,412,1226
Kenya,294,437,41,39,0,168,614,1098
India,0,29,0,0,0,612,1033,1095
Singapore,744,442,3223,212,370,633,324,1071
"Korea, Republic of",0,0,0,0,0,0,0,997
Romania,60,0,0,0,79,1357,207,953
United Kingdom,453,358,570,945,539,400,387,484
Poland,0,0,14,690,669,392,39,469
Spain,54,50,0,0,0,0,0,403
Switzerland,6445,9281,6350,2982,1850,943,1110,378
Canada,0,0,39,215,329,148,250,307
Rwanda,0,0,0,0,3,0,0,167
New Zealand,38,65,38,48,86,224,187,162
Morocco,0,0,40,568,411,307,498,141
Israel,0,0,0,0,0,0,0,86
Japan,11,0,43,16,60,33,78,79
Portugal,0,0,318,514,983,302,177,76
United Arab Emirates,11,161,240,62,8,26,16,76
Jordan,0,0,0,28,0,0,0,75
Saudi Arabia,0,0,0,0,0,0,57,70
Sweden,313,0,152,0,101,766,178,67
South Africa,0,0,62,21,21,0,20,38
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,35
Uganda,412,209,43,80,105,78,58,29
Greece,0,0,63,0,0,0,0,28
Gabon,0,0,0,0,0,1,1,2
"Korea, Democratic People's Republic of",14,0,0,0,0,0,10,0
Albania,0,0,0,0,8,0,0,0
Algeria,0,0,0,0,26,37,69,0
Angola,0,0,195,3,1,0,0,0
Australia,0,0,0,4,45,33,0,0
Bulgaria,0,0,0,0,23,0,0,0
Burundi,0,0,0,0,0,1,0,0
China,0,52,1,16,0,0,0,0
Denmark,0,0,0,0,0,43,60,0
Finland,0,0,0,0,28,35,0,0
Gambia,41,0,0,0,0,0,0,0
Lebanon,0,0,0,0,47,0,39,0
Latvia,0,0,0,0,26,0,0,0
Mali,68,54,54,7,0,0,0,0
"Taipei, Chinese",0,0,0,5,0,0,0,0
Oman,0,0,0,2,0,0,0,0
Curaçao,0,0,0,0,0,0,64,0
Panama,0,0,0,0,0,30,0,0
Russian Federation,0,0,0,0,23,8,0,0
Zimbabwe,0,0,0,0,1,0,0,0
Sudan,38,0,0,18,0,0,0,0
Thailand,0,130,0,0,0,0,0,0
Ukraine,0,0,0,23,64,0,0,0
"Tanzania, United Republic of",0,0,0,59,0,0,0,0
HHI,0.365568097,0.418219034,0.312383824,0.242294947,0.187828613,0.182608693,0.277791545,0.234680851
