Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,220,672,507,293,571,836,64,2,373,18516,19908,77956
India,0,0,0,0,0,0,0,0,0,22,7,49557
China,29,119,74,93,3,0,0,0,355,2893,3779,12673
"Iran, Islamic Republic of",3,0,0,0,0,0,0,0,0,6272,7993,8153
Türkiye,0,0,0,0,0,0,0,0,0,8261,6221,4743
Russian Federation,0,0,0,0,0,0,0,0,0,13,362,1004
Pakistan,68,3,185,0,370,1,11,2,0,609,1012,941
Finland,0,0,0,0,0,0,0,0,0,0,3,470
United Arab Emirates,92,331,177,168,90,795,52,0,0,9,10,150
"Korea, Republic of",0,0,0,0,0,0,0,0,0,43,17,60
Uzbekistan,0,0,0,0,0,0,0,0,0,11,17,44
Indonesia,0,0,0,0,0,0,0,0,0,0,0,25
United States of America,0,0,4,0,0,0,0,0,0,0,10,25
Netherlands,4,1,54,17,1,0,0,0,0,0,0,21
Germany,0,90,10,12,0,37,0,0,0,0,0,20
Thailand,0,8,0,0,0,0,0,0,17,0,0,19
Switzerland,0,0,0,0,0,0,0,0,0,0,0,17
France,0,0,0,0,0,0,0,0,0,9,0,9
Denmark,0,1,0,0,0,0,0,0,0,0,0,8
Italy,0,0,0,0,0,0,0,0,0,1,0,8
Japan,23,3,0,2,0,0,0,0,1,8,0,5
Austria,0,0,0,0,0,0,0,0,0,0,0,2
Sweden,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,0,0,0,0,9,0,0,0,0,0,5,1
Australia,0,46,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,364,472,0
Lebanon,0,0,3,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,70,0,0,0,0,0,0,0,0,0,0
Tajikistan,0,0,0,1,97,3,0,0,0,0,0,0
HHI,0.23451722,0.348681441,0.255355227,0.424169033,0.473393706,0.903987615,0.421223,1,0.888411239,0.422712906,0.372065791,0.579889467
