Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,4,13,81,15,70,36,24,20,35,52,53,52,58,28,115,65,36,32,32,29
Spain,0,0,67,2,1,4,15,8,20,32,29,35,19,4,34,30,22,6,5,15
Portugal,3,6,7,6,20,26,6,8,9,10,7,11,19,19,54,19,6,14,11,8
Italy,1,3,1,0,1,2,1,1,1,1,2,0,1,1,1,1,2,3,3,3
China,1,1,3,2,33,2,1,1,2,1,2,1,1,0,18,14,1,0,11,1
Senegal,0,0,0,0,0,0,0,1,1,1,1,1,12,4,2,1,2,3,1,1
Gibraltar,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0
Brazil,0,1,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Indonesia,0,0,0,0,0,0,0,0,0,0,11,0,1,0,4,0,2,2,0,0
Netherlands,0,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
HHI,0.595779223,0.155078189,0.698621238,0.132907965,0.287456098,0.553833266,0.351439562,0.280874515,0.376703933,0.424552584,0.32842304,0.475815431,0.26849955,0.41781666,0.321554722,0.254040947,0.424311196,0.166525155,0.190609225,0.271434504
