Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,0,0,0,0,0,0,0,0,0,3126,3843,4082
China,0,0,0,0,0,0,0,0,0,1471,1618,2232
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,1136,1324,1132
Pakistan,0,0,0,0,0,0,0,0,0,222,208,226
United Arab Emirates,0,0,0,0,0,0,0,0,0,108,329,201
United States of America,0,0,0,0,0,0,0,0,0,83,160,97
Türkiye,0,0,0,0,0,0,0,0,0,29,67,68
Germany,0,0,0,0,0,0,0,0,0,25,36,44
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,24
India,0,0,0,0,0,0,0,0,0,0,2,22
Russian Federation,0,0,0,0,0,0,0,0,0,1,4,15
France,0,0,0,0,0,0,0,0,0,0,0,14
Jordan,0,0,0,0,0,0,0,0,0,0,0,3
Finland,0,0,0,0,0,0,0,0,0,0,94,2
Italy,0,0,0,0,0,0,0,0,0,1,1,1
Japan,0,0,0,0,0,0,0,0,0,0,0,1
"Taipei, Chinese",0,0,0,0,0,0,0,0,0,44,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,6,0,0
HHI,0,0,0,0,0,0,0,0,0,0.428279303,0.36409127,0.48558
