Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,300,300,1575,1412,2342,2414,2556,3150
China,220,205,1500,1338,2172,2203,2373,2606
United Arab Emirates,30,5,19,19,54,55,52,295
Canada,0,0,0,0,5,4,9,46
United States of America,0,1,0,0,6,14,20,38
Pakistan,0,0,0,0,0,0,0,32
Belgium,1,0,1,22,12,31,36,27
Angola,0,0,0,0,0,0,0,21
India,0,0,5,3,26,30,23,14
"Hong Kong, China",0,0,0,0,0,0,1,13
Zambia,1,13,12,7,0,0,0,11
Türkiye,0,1,0,3,10,6,0,10
Portugal,0,0,0,1,0,0,1,8
Spain,0,12,1,7,0,2,2,7
South Africa,3,12,1,1,0,3,5,4
Nigeria,0,0,0,0,0,1,1,3
Poland,0,0,0,0,0,0,0,3
Australia,0,0,0,0,0,0,1,2
Lebanon,0,0,0,0,0,0,0,2
Morocco,0,0,0,0,0,0,0,2
Brazil,0,0,0,0,0,0,0,1
France,0,0,0,0,11,5,9,1
Greece,0,0,0,0,0,0,0,1
Japan,0,0,0,0,2,6,0,1
Switzerland,0,0,0,0,0,0,0,1
Ethiopia,0,0,0,1,0,0,0,0
Finland,0,0,0,0,0,0,2,0
Germany,0,0,0,0,0,3,2,0
Ireland,0,0,0,0,1,0,0,0
Kenya,20,12,0,4,0,4,0,0
Netherlands,0,0,0,0,3,1,1,0
Qatar,0,0,0,0,0,11,0,0
Singapore,0,0,3,0,23,24,2,0
Viet Nam,0,0,1,1,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,8,0
Uganda,0,1,0,0,0,0,0,0
United Kingdom,0,0,0,0,10,3,4,0
"Tanzania, United Republic of",24,39,32,5,7,6,3,0
HHI,0.594061937,0.562127563,0.93084325,0.92784649,0.901568348,0.887299786,0.908338277,0.790141783
