Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,91762,94743,83152,85305,57580
Peru,30014,49112,39569,40507,24085
Netherlands,16663,18904,16888,20950,14249
United States of America,9805,9812,6421,6833,4331
Saudi Arabia,427,0,3301,2432,2479
France,6281,6406,4474,3822,2400
Jamaica,7056,339,1910,2185,1948
Malaysia,2295,2391,3516,2036,1916
Egypt,1198,3405,2352,2357,1659
Dominican Republic,858,400,291,285,1077
Poland,0,13,35,890,499
Belgium,826,488,787,636,456
Brazil,248,472,701,487,456
Germany,35,186,105,175,400
New Zealand,0,313,516,124,217
Mexico,511,844,550,587,206
Bahamas,1,1,173,90,191
China,0,0,10,0,185
Thailand,0,159,24,42,171
Spain,73,216,250,112,136
Jordan,0,0,0,0,99
Panama,1385,1,19,103,88
Georgia,0,0,41,176,87
Eswatini,554,2,616,69,71
Morocco,756,303,0,291,56
Ireland,0,0,37,0,37
Portugal,58,144,73,37,24
United Arab Emirates,0,38,0,0,20
Ukraine,0,1,18,19,15
Canada,43,50,41,18,12
Italy,5,88,4,11,9
Trinidad and Tobago,0,0,0,1,1
Algeria,0,0,0,2,0
Argentina,167,7,0,0,0
Chile,9,0,0,0,0
Colombia,11895,0,0,5,0
Croatia,0,0,54,0,0
Denmark,93,22,14,23,0
Indonesia,93,0,39,0,0
Curaçao,0,110,0,0,0
Paraguay,0,15,0,0,0
Viet Nam,0,229,292,0,0
South Africa,412,0,0,0,0
Switzerland,0,273,0,0,0
United Kingdom,0,0,30,0,0
HHI,0.287294808,0.476994017,0.429857212,0.443688268,0.389568479
