Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,157,351,4677,2524,2431,1395,1131,528,520,4965,4242,2962,1856,655,1076,1504,1180,1430,1992,941
France,21,31,26,29,53,14,17,13,42,16,57,334,33,18,122,190,188,372,420,535
Niger,67,142,573,1041,1221,716,683,368,380,2306,1056,400,1476,41,708,1020,461,703,1310,290
Gabon,64,78,38,36,42,47,73,48,34,18,108,68,16,42,15,27,43,42,30,33
United States of America,0,2,0,9,0,4,0,0,0,1,0,44,20,20,32,115,33,39,0,28
Togo,0,0,0,53,0,0,0,0,0,653,42,98,0,74,56,17,6,11,61,22
Burkina Faso,0,78,819,1164,1106,609,342,90,42,94,1680,286,21,0,56,39,0,15,128,19
Congo,1,6,3,4,6,6,3,3,9,3,23,20,17,28,23,12,16,44,22,13
"Congo, Democratic Republic of the",0,0,0,0,0,0,2,0,5,1,6,7,0,1,0,0,28,0,0,1
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,3,7,2,14,5,1,1,0,1,0
Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0
Belgium,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
China,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Guinea,0,0,0,0,0,0,0,0,0,0,0,1389,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,20,0,0,1,206,1,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Liberia,0,0,0,0,0,0,0,0,0,0,3,190,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Nigeria,0,0,3215,185,0,0,0,0,0,1849,1182,113,237,72,13,61,138,67,0,0
Senegal,2,3,2,1,0,0,2,2,8,0,8,7,0,0,1,6,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
Singapore,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,2,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0
Türkiye,0,0,0,0,0,0,0,0,0,0,73,0,19,133,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
United Kingdom,0,10,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0.333218118,0.259028579,0.549752439,0.449613524,0.456289806,0.450356201,0.517976868,0.555845808,0.586760099,0.451725445,0.361242329,0.332115728,0.731499599,0.185754144,0.554402876,0.585343633,0.295442205,0.408673184,0.541833193,0.457364804
