Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,0,0,0,20,0,0,0,0,0,0,918,521
Pakistan,0,0,0,0,0,0,0,0,0,0,45,364
United Arab Emirates,0,0,0,20,0,0,0,0,0,0,150,74
United States of America,0,0,0,0,0,0,0,0,0,0,6,36
China,0,0,0,0,0,0,0,0,0,0,15,18
India,0,0,0,0,0,0,0,0,0,0,69,11
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,0,38,9
United Kingdom,0,0,0,0,0,0,0,0,0,0,12,4
Türkiye,0,0,0,0,0,0,0,0,0,0,3,3
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,1
Oman,0,0,0,0,0,0,0,0,0,0,8,1
Denmark,0,0,0,0,0,0,0,0,0,0,1,0
France,0,0,0,0,0,0,0,0,0,0,9,0
Malaysia,0,0,0,0,0,0,0,0,0,0,562,0
Netherlands,0,0,0,0,0,0,0,0,0,0,1,0
HHI,0,0,0,1,0,0,0,0,0,0,0.504338217,0.587156595
