Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,11147,40939,33440,29131,56935,23017,37946,56201,64944,58812,37784,43253
Iraq,605,178,3023,5285,7876,2774,7413,10129,8927,11802,9726,11757
"Iran, Islamic Republic of",6185,25640,21094,13730,22587,1161,12712,15673,11832,10324,11703,8966
Pakistan,729,4036,928,5777,5173,8246,8066,5884,18654,23389,7853,8740
India,73,1570,1255,640,2859,1671,702,16662,18621,6024,2011,5320
United Arab Emirates,1898,5860,3096,1215,8682,6650,7971,6306,2002,3130,1257,3456
Türkiye,22,794,2321,1522,5845,1874,682,671,3124,717,1357,2887
Jordan,0,0,29,0,31,0,198,666,1240,2385,2714,1315
Tajikistan,0,0,0,0,0,0,28,170,18,68,189,526
Russian Federation,0,0,0,0,44,0,0,0,43,77,67,94
Ukraine,0,0,0,0,32,0,0,0,0,0,23,38
China,0,0,0,0,963,176,0,0,48,0,70,23
Viet Nam,0,0,0,0,0,0,0,0,0,337,0,20
Singapore,0,0,0,0,0,0,0,0,0,0,0,19
Uzbekistan,0,0,0,0,60,0,0,0,51,13,26,19
United States of America,0,0,0,0,2224,0,0,0,0,1,1,14
Turkmenistan,0,0,26,0,175,267,172,0,127,18,119,13
Namibia,0,0,0,0,0,0,0,0,0,0,0,13
Germany,1,0,0,0,45,0,0,41,97,15,12,9
Georgia,0,0,0,0,0,0,0,0,0,0,0,8
Kuwait,0,0,0,0,0,0,0,0,0,0,0,6
United Kingdom,0,0,0,0,0,0,0,0,23,0,0,4
Lebanon,0,26,0,0,0,29,1,0,12,223,74,2
Sweden,0,0,0,0,0,0,0,0,0,1,1,2
Tokelau,0,0,0,0,0,0,0,0,0,0,0,1
Belgium,0,0,0,0,57,60,0,0,0,0,0,1
France,0,0,0,0,0,0,0,0,0,0,18,1
Netherlands,0,0,0,0,0,0,0,0,0,0,0,1
Australia,0,0,0,0,0,0,0,0,0,0,1,0
Austria,0,0,0,0,0,0,0,0,0,1,1,0
Canada,0,0,5,0,25,28,0,0,0,10,7,0
Italy,0,0,0,0,60,0,0,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,55,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,16,16,0
Malaysia,0,0,0,0,0,0,0,0,88,141,507,0
New Zealand,0,0,0,0,0,0,0,0,0,41,0,0
Poland,0,0,0,0,0,0,0,0,0,47,0,0
Portugal,0,0,0,0,123,0,0,0,0,0,0,0
Saudi Arabia,406,1045,973,962,0,28,0,0,26,0,0,0
Spain,0,0,0,0,20,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,10,0,0,0
Syrian Arab Republic,1228,1789,689,0,0,52,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,33,33,0
HHI,0.396984115,0.480045694,0.499383969,0.273531554,0.32011879,0.295532588,0.254606401,0.206740364,0.305909982,0.361184017,0.327492808,0.293921467
