Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,35424,44226,56870,55774,101005,81077,105099,143628,135574,143134,68447,74138,104921,82913,82610,44386,45530,86359
China,15179,30213,36447,31184,38288,39564,48963,60540,48529,51687,28201,39422,59643,47589,44451,25056,20919,48209
Brazil,4013,1945,4220,5972,12628,12845,24346,36719,39423,38606,16574,9506,7805,8911,12683,7812,11313,17185
Portugal,3640,3500,5883,7297,19398,12018,16729,25572,30606,28983,16052,18644,24449,18384,13399,6129,5628,9874
South Africa,951,1458,2085,1235,6440,1970,2794,2885,3702,2593,1276,870,1499,952,2552,1621,1661,2234
Türkiye,0,0,12,10,42,0,53,557,310,179,46,137,482,620,594,157,407,1985
United Arab Emirates,419,181,382,163,411,687,466,1040,763,1361,697,1191,6256,712,452,429,668,1374
India,0,0,0,13,111,315,157,331,198,376,538,221,222,617,314,307,706,827
United States of America,2759,1804,2028,2071,3406,2616,3730,4549,3430,3566,1066,866,561,419,640,559,640,639
France,324,405,609,656,931,890,948,1275,925,1056,227,524,399,609,1305,443,412,573
United Kingdom,34,421,474,374,384,481,441,701,830,726,214,359,451,540,725,248,209,531
Spain,124,12,150,143,240,259,329,880,442,642,278,211,255,642,468,260,617,514
Belgium,216,229,130,556,419,395,995,836,465,585,636,246,248,152,426,159,315,328
"Hong Kong, China",3068,744,269,1606,305,209,185,473,364,284,42,144,379,50,82,31,72,310
Italy,482,22,54,88,850,316,786,1911,856,890,515,408,416,527,451,214,343,272
Morocco,0,0,0,52,0,78,182,569,985,845,444,180,380,377,378,30,173,247
Germany,4,10,315,56,20,40,54,32,83,112,62,37,59,42,56,43,195,124
Netherlands,56,90,141,143,353,435,116,226,214,75,113,107,70,105,219,196,114,118
Qatar,0,0,0,0,0,3,0,0,2,0,0,1,0,0,8,0,14,99
Guinea,0,0,0,1,0,0,3,0,0,1,35,0,0,10,0,0,0,76
Viet Nam,0,10,2231,187,114,244,567,483,475,282,149,37,84,21,23,5,24,66
