Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018
World,1425,3855,6179,4582,4979,4228,9168,9799,14968,14885,16037,8918,9211,12932,11358,12631,4417,8642
Malaysia,15,1538,53,449,915,1033,2285,0,5213,1779,5816,3660,6645,11196,9636,12378,4374,8477
Australia,18,100,41,161,55,138,345,0,0,0,0,0,0,5,0,3,25,70
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
United Kingdom,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,2,3,32
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Nauru,0,0,0,0,0,0,0,0,0,0,0,11,11,10,0,3,0,0
Belgium,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,13,1769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,125,0,912,506,343,0,22,0,0,0,0,0
"Hong Kong, China",0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,56,457,39,243,0,0,0,5592,7284,7605,2084,1200,1723,1721,235,0,0
Japan,0,0,0,28,0,28,0,0,0,0,0,0,0,0,0,0,2,0
"Korea, Republic of",0,0,0,78,396,0,51,0,0,0,0,0,0,0,0,0,0,0
"Taipei, Chinese",0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,15,50,0,0,0,0,0,0,0,0,1333,0,0,10,12,0
Papua New Guinea,119,190,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,17,56,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,1273,1959,3730,3723,3238,2973,6361,9799,3251,5317,2273,3163,0,0,0,0,0,0
United States of America,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0.794757387,0.406236908,0.493240025,0.729300391,0.523727244,0.539187144,0.52665359,1,0.116705841,0.236932333,0.227925295,0.181250341,0.542755756,0.75190374,0.528202402,0.966450288,0.982425623,0.965578433
