Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,6296,11152,12353,10722,14166,16210,20006,17291,14876,21718,26045,31822,23066,31807,21809,27750,28290,32003,47085,36874
China,24,412,694,1245,1574,2643,5026,3123,3642,4377,5846,8874,4856,8531,7936,11697,8612,8906,27542,10011
Türkiye,0,0,9,34,330,0,167,8,133,348,947,144,565,502,421,322,1282,1337,4625,9140
Italy,1283,3451,3928,444,520,1555,646,1301,1063,774,1643,1033,1038,2383,899,1890,851,687,1334,2183
France,2344,1902,2631,1660,3318,2109,1769,2732,1386,2892,4011,4225,2868,3760,2077,2406,2506,2378,3744,1869
United States of America,114,348,1229,422,445,1684,695,1075,1318,1803,2054,2351,2251,1965,1283,2345,735,3576,1227,1439
United Arab Emirates,42,84,76,52,265,201,332,47,49,277,456,2822,206,94,261,141,1266,173,585,1166
Viet Nam,0,0,0,0,7,0,2,93,1,1,24,1988,14,30,0,0,0,0,0,976
South Africa,164,324,1076,2048,1844,1163,3461,1101,197,1998,630,1373,3675,660,263,1052,1800,1256,336,937
Togo,72,284,2,38,53,29,13,27,88,46,80,72,227,84,182,680,448,541,720,877
Spain,80,281,242,50,276,266,658,196,1294,441,138,538,69,824,327,1360,620,130,491,859
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771
Germany,151,144,171,78,222,244,181,166,405,546,975,1247,447,484,364,779,534,459,758,736
Tunisia,10,25,31,125,775,56,634,44,24,112,27,146,31,159,87,488,287,1288,77,699
Sweden,38,24,2,16,19,194,21,117,13,72,46,45,85,69,109,94,2095,4125,111,645
Côte d'Ivoire,540,263,194,460,1803,370,386,457,308,596,563,492,562,768,1102,476,419,485,453,588
Australia,0,0,27,135,104,95,130,46,19,1321,494,12,196,902,1324,166,566,850,122,507
Greece,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,16,0,0,395
Belgium,62,560,256,716,213,241,795,379,119,446,531,321,430,333,313,304,1339,480,583,373
Ghana,214,1080,165,1053,912,770,809,827,465,1406,691,601,550,2828,423,578,766,1323,634,346
Malaysia,0,1,19,31,81,39,27,110,17,119,136,337,256,400,358,173,243,180,159,313
Poland,0,16,0,4,31,0,155,169,59,139,77,150,207,250,70,322,182,281,78,256
Canada,47,195,87,129,1,80,290,670,168,133,511,241,130,340,174,319,389,271,171,163
India,53,18,17,106,40,71,300,125,166,677,94,441,1598,276,29,88,297,898,253,163
Lebanon,10,4,8,0,0,3,13,37,3,16,15,1009,36,4,36,0,81,629,259,150
Switzerland,50,6,41,40,17,30,131,94,80,19,152,169,112,88,219,141,284,51,81,144
United Kingdom,183,82,36,20,20,115,13,101,76,180,77,66,71,64,433,94,532,550,82,109
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
Denmark,24,35,75,17,23,132,137,36,139,191,97,119,40,247,264,119,436,119,58,93
Finland,0,587,287,0,0,0,0,0,8,0,26,10,0,18,143,98,50,60,118,86
Morocco,28,17,124,128,10,1679,1124,881,648,796,149,414,186,81,187,139,546,184,846,73
Cameroon,23,125,0,0,39,37,85,3,0,24,102,21,45,7,41,32,20,24,52,61
Romania,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,17,1,2,82,61
Portugal,55,42,6,0,25,0,0,10,6,69,1354,449,21,26,87,112,4,44,9,58
Indonesia,4,11,26,26,0,19,107,44,41,131,717,521,11,4,25,29,24,26,29,56
Austria,2,0,41,0,0,27,5,106,0,14,46,63,41,40,116,48,0,42,20,49
Netherlands,31,239,139,384,177,724,461,395,311,78,212,114,165,112,151,66,117,164,244,49
Japan,28,0,98,0,4,60,37,133,15,18,65,46,3,44,55,99,15,36,47,45
Mali,70,55,3,16,16,16,28,24,15,51,68,77,388,58,46,17,226,38,13,42
Singapore,1,0,4,0,0,0,0,0,0,0,33,9,0,0,2,95,5,0,62,42
"Iran, Islamic Republic of",2,0,6,0,10,0,0,9,0,0,6,0,0,0,0,4,0,0,5,27
Saudi Arabia,152,1,7,0,5,50,10,2,21,12,117,2,5,33,110,100,7,3,15,18
Benin,63,55,72,11,26,12,66,77,28,53,34,26,304,3,15,32,11,2,8,16
Egypt,0,0,295,721,232,556,0,62,376,5,1253,40,376,10,251,61,14,2,1,15
Brazil,2,33,0,62,10,10,123,41,8,0,33,47,76,2,0,55,27,38,26,14
Czech Republic,0,0,0,1,13,0,0,0,2,0,2,1,0,14,9,4,94,0,0,14
Nigeria,15,9,10,26,10,38,16,5,24,20,53,15,18,20,0,7,6,40,0,14
Senegal,112,254,47,112,176,176,189,166,334,105,75,82,10,51,16,15,50,16,5,12
Qatar,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,11
Gabon,0,11,0,11,0,11,37,0,51,15,57,0,15,73,11,16,0,0,4,9
Norway,0,0,6,0,0,0,107,0,0,0,0,0,0,0,0,36,0,0,119,9
"Taipei, Chinese",0,43,2,4,62,0,715,2055,1399,984,991,627,651,2924,1145,138,114,27,7,8
Kuwait,0,0,0,0,3,0,0,0,0,0,0,0,0,0,48,12,2,4,300,7
"Korea, Democratic People's Republic of",0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
Cuba,0,0,0,0,0,29,0,0,0,7,3,0,0,21,5,0,0,0,0,6
Madagascar,20,0,0,36,0,0,0,0,7,0,0,3,17,0,94,59,10,0,0,6
Syrian Arab Republic,3,10,0,1,20,13,14,32,12,39,0,0,0,0,0,0,0,0,0,5
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Guinea,0,4,12,0,5,46,0,0,1,8,23,2,29,59,0,10,37,9,25,4
"Hong Kong, China",7,2,8,8,12,0,9,0,3,1,14,2,10,0,1,11,17,41,76,4
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4
Thailand,89,56,0,0,37,56,2,12,12,40,0,1,9,13,14,6,17,0,2,4
Ethiopia,57,0,0,5,20,48,0,18,24,5,18,9,9,79,7,134,0,19,10,3
Bulgaria,0,0,0,0,0,0,0,0,0,3,1,7,0,9,12,0,0,0,0,2
Ireland,0,0,0,0,0,0,0,0,77,10,0,0,0,0,0,0,0,1,0,2
"Korea, Republic of",0,2,1,0,0,0,17,3,6,22,1,10,27,9,10,2,1,1,2,2
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Argentina,0,0,16,0,0,1,0,0,10,0,0,7,10,28,0,48,0,0,0,1
New Zealand,0,1,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,1
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,15,57,0,0,11,8,12,1
Niger,10,27,17,179,40,75,9,1,0,6,20,37,13,3,2,47,8,9,7,0
Chad,0,0,0,14,0,0,29,0,0,4,0,0,0,7,0,0,0,0,0,0
Saint Helena,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0
Algeria,5,0,10,0,11,0,0,6,0,10,5,6,5,77,0,4,7,23,8,0
Andorra,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brunei Darussalam,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Cambodia,0,0,33,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0
Sri Lanka,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,4,0
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Comoros,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
Congo,0,4,0,0,8,0,0,0,26,0,42,0,22,33,28,0,8,0,8,0
"Congo, Democratic Republic of the",0,0,3,0,0,0,0,0,0,0,15,68,0,15,0,0,0,32,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,63,69,1,0,0,32,0
Ecuador,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gambia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,69,0,0,0,0,25,0,0,0,0,0,0,0,20,0,0
Hungary,0,14,0,0,0,2,5,3,0,23,0,11,18,1,10,15,0,0,4,0
Israel,0,0,0,0,0,330,0,0,154,0,0,0,0,0,13,0,0,0,0,0
Kenya,0,1,15,14,44,8,4,12,7,0,21,160,0,8,8,24,22,40,12,0
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
"Libya, State of",0,0,0,0,21,23,0,0,0,42,24,7,0,0,0,2,0,14,0,0
Luxembourg,0,0,0,0,0,14,0,24,0,20,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0
Mauritania,0,0,0,0,0,2,0,20,0,6,0,18,0,0,4,97,4,0,0,0
Mexico,0,0,0,0,0,0,0,1,0,18,0,40,2,0,7,5,51,2,122,0
Mozambique,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
Namibia,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,50,0,0,0
Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,2,38,27,0,0,1,0,0,0,3,0
Philippines,0,0,0,0,0,15,0,46,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,6,0,0,0,0,0,0,0,0,0,5,0,3,0,0,5,0,0,0
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,30,70,0
Rwanda,0,0,15,0,0,0,12,17,0,0,0,0,10,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Serbia,0,0,0,0,0,11,0,0,0,0,0,0,0,15,0,0,0,15,20,0
Sierra Leone,0,0,0,0,0,0,0,0,0,60,0,0,0,117,0,0,0,0,0,0
Slovakia,0,0,0,0,89,0,0,0,18,0,48,0,1,1541,0,0,0,0,20,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
Zimbabwe,4,1,4,6,55,6,0,0,0,0,0,11,0,15,0,0,0,0,11,0
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,80,0,12,0
Eswatini,0,4,18,0,0,1,0,0,0,0,5,0,0,0,0,0,3,0,0,0
Uganda,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0
"Tanzania, United Republic of",7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
Yemen,0,0,0,31,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,7,0,42,0,0,0,0,0,0
HHI,0.340250921,0.280898072,0.321929341,0.195299053,0.233798727,0.186594387,0.23031558,0.200038606,0.216784619,0.200562533,0.216262376,0.2549042,0.225972025,0.253215439,0.3119631,0.373485191,0.257296942,0.252849055,0.54868374,0.302872699
