Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,714,568,512,161,180
United States of America,128,127,80,61,58
China,152,101,65,43,51
Panama,211,238,175,36,33
Dominican Republic,15,6,2,4,22
France,171,85,13,0,4
Germany,2,0,1,1,2
"Hong Kong, China",1,1,1,4,2
Malaysia,0,0,0,2,2
Netherlands,0,2,0,0,2
Japan,0,0,0,1,1
Switzerland,0,0,0,1,1
Belgium,20,0,3,0,0
Brazil,0,1,0,0,0
Canada,6,0,8,4,0
Guatemala,0,0,1,0,0
Jamaica,3,4,0,0,0
"Macao, China",0,0,17,0,0
Mexico,1,0,1,0,0
"Taipei, Chinese",0,0,1,0,0
India,1,0,0,1,0
Viet Nam,0,2,129,2,0
Spain,0,0,14,0,0
HHI,0.258752368,0.311078058,0.289446211,0.320859557,0.260444838
