Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,2445,2053,2729,2002,1546,14284,5909,4037,6238,7359,7657,9498
Pakistan,1118,135,1078,1573,0,12959,4739,3354,4481,5292,5555,5771
Russian Federation,870,1590,1651,414,1411,1314,815,675,1573,1362,1594,2259
China,0,0,0,9,35,0,0,8,0,153,0,981
"Iran, Islamic Republic of",0,0,0,6,0,0,0,0,0,450,436,354
India,0,0,0,0,0,0,18,0,96,101,72,133
Japan,0,0,0,0,0,0,0,0,77,0,0,0
Kazakhstan,0,39,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,59,0,0,0,0,0
Malaysia,0,0,0,0,0,0,10,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,46,0,0,0,0,0
Tajikistan,0,36,0,0,0,0,0,0,12,0,0,0
United Arab Emirates,0,0,0,0,48,12,0,0,0,0,0,0
Uzbekistan,457,254,0,0,51,0,221,0,0,0,0,0
HHI,0.074408625,0.615534252,0.052642744,0.624979459,0.828163711,0.791532161,0.702163904,0.639122699,0.568678482,0.539577085,0.513920671,0.388219284
