Exporters,Imported value in 2003,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,172,0,238,1036,779,931,1021,1683,292,300,797,1207,1254,958,1698,634,1444,2281
Cameroon,55,0,121,872,576,531,47,741,211,260,660,1041,956,449,538,487,917,1827
Switzerland,0,0,5,0,0,0,0,0,0,0,0,12,8,0,1,0,0,218
China,0,0,0,46,38,46,168,54,14,12,31,45,63,262,903,34,160,113
United Arab Emirates,0,0,0,17,9,2,5,16,2,0,1,0,26,27,0,0,12,46
France,91,0,30,15,54,176,142,22,6,15,48,45,160,156,91,20,119,29
Lebanon,1,0,40,16,1,0,88,0,5,0,3,3,0,0,0,0,40,24
Belgium,1,0,11,32,5,0,0,0,20,0,0,0,0,10,55,56,121,12
Turks and Caicos Islands,0,0,0,6,4,0,13,0,0,9,0,0,0,0,0,0,0,12
British Indian Ocean Territory,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
Brazil,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Congo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,2,180,0,0,0,0,0,0,0,0,0,71,0
Gambia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,22,9,0,5,0,0,30,13,1,3,58,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,76,0,0,0,0,0,0,3,0,0,0,0
Japan,3,0,4,7,28,5,67,10,7,2,7,8,4,5,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0
Netherlands,2,0,0,5,3,0,0,0,0,0,0,0,0,0,18,0,0,0
Nigeria,0,0,2,0,0,0,0,12,0,0,0,0,0,1,0,0,4,0
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Saudi Arabia,0,0,0,2,0,0,2,0,0,0,0,0,6,0,0,0,0,0
Senegal,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0
India,0,0,0,0,0,0,0,810,0,0,0,1,0,0,0,0,0,0
Singapore,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,5,6,14,55,6,0,1,0,0,1,0,5,0,0,0,0
Sweden,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Togo,0,0,0,1,0,0,74,0,0,0,0,8,0,0,0,0,0,0
Tunisia,0,0,0,0,0,90,0,12,0,0,0,0,13,25,25,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Egypt,0,0,7,9,0,13,0,0,12,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,25,0,4,0,0,0,8,0,0,1,0,0,0,0
United States of America,0,0,0,1,0,0,0,0,0,0,0,4,15,1,1,3,0,0
HHI,0.437287023,0,0.350992932,0.78708476,0.64391352,0.446980821,0.118628252,0.480088269,0.606397541,0.779633265,0.748347759,0.812344547,0.683806819,0.424075843,0.460838883,0.64193061,0.470561088,0.703951192
