Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,8803,4382,14740,20262,58973,65207,36257,17140,7146,77466,115954,114400
"Iran, Islamic Republic of",3732,2456,6129,5418,13034,36171,19832,9001,1672,33753,65716,47026
China,524,233,1717,1476,1186,901,773,1380,1138,27120,19451,24260
Pakistan,3684,1182,4481,11015,36295,8671,9033,3629,3350,4697,10299,16690
United Arab Emirates,33,11,315,624,3704,7451,1533,433,163,4805,8246,10845
"Korea, Republic of",0,50,8,40,48,0,0,6,0,769,1163,3294
Oman,0,0,0,0,0,0,0,0,0,1600,4305,2128
Türkiye,558,209,1486,873,2723,11227,4569,723,332,1046,923,1909
Saudi Arabia,76,69,173,154,3,1,0,147,0,245,795,1790
India,24,39,32,108,282,391,72,110,26,1998,642,1672
Turkmenistan,0,0,0,3,0,0,0,10,0,293,1224,1064
United States of America,0,0,18,32,147,98,145,1548,100,17,405,668
Mauritius,0,0,0,0,0,0,0,0,0,0,123,639
Viet Nam,0,0,0,0,0,0,0,30,0,293,590,637
Uzbekistan,0,0,25,25,58,141,96,86,170,681,768,429
Finland,0,0,0,0,0,0,0,0,0,0,622,320
Singapore,0,0,0,0,0,0,0,0,0,0,357,234
Austria,0,0,0,1,0,0,0,0,0,0,0,182
Bahrain,0,0,0,0,0,0,0,0,0,0,111,171
Tajikistan,16,16,22,170,167,144,0,0,0,19,31,155
United Kingdom,0,0,0,22,888,0,0,0,7,0,9,44
Germany,0,0,1,0,230,3,47,0,0,58,103,36
Thailand,45,6,81,0,0,0,0,0,0,0,20,34
Canada,0,0,0,10,0,0,0,0,0,0,0,28
Sweden,0,0,0,0,0,0,0,0,0,62,37,28
Kenya,0,0,0,0,23,0,0,0,0,0,0,27
Indonesia,0,0,53,0,78,0,0,0,0,0,0,17
Italy,0,2,0,0,0,0,0,0,29,1,2,15
Malaysia,0,68,0,12,0,0,19,21,0,0,0,13
Ireland,0,0,0,33,0,0,0,0,0,0,0,12
Eswatini,0,0,0,0,0,0,0,0,0,0,0,11
Spain,0,0,0,0,0,0,0,0,0,1,0,8
Japan,0,41,92,55,0,7,0,0,0,0,0,6
Denmark,0,0,0,35,0,0,0,0,0,0,0,3
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,1
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,1
Switzerland,0,0,0,0,0,0,0,0,93,2,0,1
"Korea, Democratic People's Republic of",37,0,0,0,0,0,0,0,0,0,0,0
Belgium,17,0,88,131,0,0,135,0,37,0,0,0
France,0,0,0,0,0,0,0,0,0,0,11,0
Kazakhstan,0,0,0,0,85,0,0,0,27,0,0,0
"Taipei, Chinese",23,0,21,25,23,0,3,4,3,2,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,1,0
Romania,0,0,0,0,0,0,0,0,0,0,1,0
Russian Federation,0,0,0,0,0,0,0,13,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,4,0,0
Egypt,32,0,0,0,0,0,0,0,0,0,0,0
HHI,0.44946942,0.483482035,0.39047217,0.504557651,0.549927505,0.447367537,0.460128789,0.435445985,0.387173746,0.44606217,0.506691606,0.395598519
