Importers,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017
World,104,971,668,1235,1820
United States of America,102,381,316,373,600
Colombia,0,0,0,0,411
Gambia,0,0,0,0,302
Cameroon,0,0,0,0,278
Nigeria,0,0,0,435,139
Guatemala,0,234,0,103,67
Singapore,0,0,0,0,11
Argentina,0,0,0,0,7
Côte d'Ivoire,0,0,0,0,2
Canada,0,3,3,0,1
Dominican Republic,0,0,0,0,1
France,0,0,0,0,1
Curaçao,0,0,0,0,1
Chad,0,323,0,142,0
Congo,0,21,256,0,0
Honduras,0,0,46,0,0
Italy,2,0,0,0,0
Mauritania,0,0,47,0,0
Morocco,0,8,0,0,0
Panama,0,0,0,0,0
Senegal,0,0,0,184,0
HHI,0.93498569,0.270873816,0.306664867,0.10923646,0.261988877
