Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,12606,3093,1979,3364,2567
United States of America,11170,2374,1483,1448,1568
Mexico,1,0,30,116,352
China,166,363,186,1638,341
Dominican Republic,390,260,68,16,125
"Korea, Republic of",0,17,61,0,51
Costa Rica,0,0,19,8,34
"Hong Kong, China",0,0,42,0,21
"Taipei, Chinese",16,20,26,12,17
Belgium,0,0,3,5,14
Sri Lanka,0,0,0,0,11
Germany,0,2,0,0,10
France,14,1,1,6,7
Sweden,0,0,0,0,7
Spain,0,0,0,0,6
Canada,0,0,17,1,1
Italy,76,1,16,22,1
Japan,0,0,20,81,1
Netherlands,0,0,0,0,1
Panama,0,1,1,0,1
Brazil,0,53,5,0,0
Colombia,739,0,0,0,0
Israel,0,1,0,0,0
Jamaica,1,0,1,0,0
Curaçao,6,0,0,0,0
Eswatini,0,0,1,0,0
Thailand,0,0,0,7,0
United Arab Emirates,28,0,0,0,0
Türkiye,0,0,0,4,0
HHI,0.840633608,0.686798148,0.679771864,0.51751508,0.535958221
