Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
40,0,0,0,0,0,0,0,0,3.73E-05,1.77E-05,4.86E-06,4.29E-06,2.04E-05,0.000700083,3.00E-05,3.43E-05,2.40E-05,1.76E-06
42,0,0,0,0,0,0,0,0,0,0,4.86E-06,6.65E-05,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002710914,0,0,0,0
44,0.721296809,0.768795554,0.758151573,0.811067842,0.816237624,0.734056767,0.673670544,0.545756338,0.602336538,0.567332404,0.497652719,0.441799674,0.519191651,0.597207955,0.71945125,0.735711852,0.707055021,0.749754003
46,4.26E-05,0,0,0,6.83E-05,0,0,0,0,0,2.43E-06,4.29E-06,0,0,2.50E-06,0,0,0
48,0,0,0,0,0,0,9.91E-06,0,0,0,0,2.14E-06,6.13E-06,0,4.50E-05,3.20E-05,0,0
49,0,0,0,0,0,0,0,0,2.33E-05,8.85E-06,0.000352335,1.07E-05,0.000318924,5.02E-05,1.75E-05,1.37E-05,0,3.51E-06
52,0,0,0,1.61E-05,5.46E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,4.86E-06,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,2.43E-06,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,8.56E-06,0,0,0,8.85E-06,2.67E-05,0,2.04E-06,0,0,0,0,8.79E-06
62,0.000170409,0,2.21E-05,1.61E-05,1.37E-05,5.14E-05,0,0,4.66E-06,4.42E-06,2.43E-06,0,4.09E-06,2.18E-06,2.50E-06,6.86E-06,0,1.76E-06
63,0,6.66E-05,8.85E-05,0.000128733,0,0,0,0,4.66E-06,6.19E-05,2.43E-06,1.72E-05,3.48E-05,2.62E-05,2.50E-06,6.40E-05,4.80E-05,1.23E-05
64,0,0,0,1.61E-05,0,8.56E-06,0,0,0,0,0,2.14E-05,0,0,0,4.57E-06,0,0
65,0,0,0,0,0,0,0,0,0,0,7.29E-06,0,0,0,0,0,0,0
68,0,6.66E-05,0,0,0,0,0,0,0,4.42E-06,0,8.58E-06,2.04E-06,0,1.25E-05,0,4.00E-06,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58E-05,0,1.83E-05,8.00E-06,0
70,0,0,6.64E-05,4.83E-05,0,0,0,0,0.000111841,0,4.13E-05,0.000122231,0,0,0,0,0,0
71,0.007881396,0.003527806,0.012520462,0.01309861,0.012017753,0.006012436,0.008875432,0.012384617,0.020019479,0.01506204,0.165468727,0.242762084,0.218853305,0.092393521,0.006061423,0.005170328,0.006533724,0.005622795
72,0.000681634,0.000499218,0.000420298,0.000273558,0.000232161,0.000248377,0.000327068,0,0.000270282,0.000137129,0.000831025,0.000741965,0.001067168,0.000536512,0.00023976,6.86E-05,7.60E-05,0.000137056
73,0.002641333,0.000632343,0,1.61E-05,0.000109252,0,1.98E-05,0,8.85E-05,0.000296375,0.001372892,0.002365283,0.000310746,0.00050816,9.24E-05,0.000692883,0.00028016,0.000419952
74,0,0,0,0,0,0,1.98E-05,0,4.19E-05,2.21E-05,3.40E-05,5.58E-05,0,3.71E-05,2.50E-06,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0.000639034,0.000173773,0.000353313,0,0,0,0
76,0.000170409,0.000299531,0.000774234,0.000128733,9.56E-05,7.71E-05,0.000683869,0.001954318,0.000228341,0.000212328,0.000211401,0.000212296,0.000249415,0.000261713,0.00021978,0.000146352,0.000212121,0.000184498
82,0.000894645,3.33E-05,0.000176968,3.22E-05,0.000232161,0,0.000113978,0,2.80E-05,0.000911242,8.26E-05,7.08E-05,0.000376167,0.000126495,0.000132367,0.000141778,0.000338193,0.000159898
83,4.26E-05,0,0,0,0,0,5.45E-05,0,9.79E-05,1.77E-05,2.43E-06,8.58E-06,2.66E-05,2.18E-06,2.25E-05,2.06E-05,6.00E-06,0
84,0.007710987,0.005158585,0.011104721,0.000643666,0.002239672,0.014037582,0.000986159,0.00167513,0.002893877,0.017632097,0.003032512,0.008691289,0.003332345,0.010544865,0.01138109,0.008927448,0.004624636,0.001927564
85,0,0.00056578,0.000309693,0,4.10E-05,1.71E-05,0.000104067,5.67E-05,3.26E-05,0.003326477,0.001440929,0.000276629,0.001514888,0.007892837,0.000696801,0.000752339,0.000382218,0.000161655
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99E-06,2.29E-05,0,0
87,0,0.00139781,2.21E-05,0,0,0,0,0,1.86E-05,0.000296375,0.000301307,3.00E-05,0.002007585,0.006872155,0.000317182,0.002286744,0.000390222,0.000349668
88,0,0.001031717,0,0,0,0,6.44E-05,0,0.000121161,0.000707761,0.000257569,0,0.001431068,4.36E-06,0.002410084,0.000635715,8.00E-06,2.11E-05
89,0,0,0,0,0,0,0,0,0.002544375,0.009545927,9.23E-05,0,6.13E-05,0,0.000114885,0.000219527,0.000630359,1.58E-05
90,0,6.66E-05,0,0,0,0,0,0,0.00176149,0.002366576,0.000692521,0.000255185,0.000159462,0.000588855,0.001293703,0.00127829,0.000628358,0.000463881
92,0,0,0,0,0,0,0,0,0,0,9.72E-05,0,6.75E-05,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,7.08E-05,0,0,0.004158276,0,0.00028971,0.000192086,0,0
94,0,0.000199687,0,0,0,1.71E-05,0,0,1.86E-05,4.42E-05,1.94E-05,0,1.64E-05,9.81E-05,0.000387112,1.14E-05,0.000108062,5.27E-06
95,0,0,0,0,0,0,0,0,2.33E-05,1.33E-05,0,4.29E-06,2.04E-06,2.18E-06,2.50E-06,2.52E-05,0,1.76E-06
96,0,0.000133125,0,0,0,0,0,0,0,0,0,0,4.09E-06,0,4.99E-06,2.29E-06,2.00E-06,0.00039711
99,0,0,0,0,0,0,0,0,0,0,0,0,6.95E-05,0,1.25E-05,0,0,0
