Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,1027,1601,3573,6426,16549,28063,44673,90393,25124,43345,32420,16792
Pakistan,1027,1520,3320,4804,13026,27674,43344,88139,24495,42532,31618,16459
Andorra,0,0,0,0,0,0,0,0,0,0,0,123
"Iran, Islamic Republic of",0,81,170,1565,612,268,737,153,343,581,659,123
Kazakhstan,0,0,0,40,18,0,42,49,139,176,127,76
Uzbekistan,0,0,60,9,57,21,0,0,126,10,6,10
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,1
Turkmenistan,0,0,0,0,0,10,0,0,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,8,0
France,0,0,0,0,0,0,0,0,3,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,2,0
Kyrgyzstan,0,0,0,0,0,0,0,0,0,44,0,0
Saudi Arabia,0,0,0,0,0,0,0,2022,0,0,0,0
India,0,0,0,0,2765,31,32,7,15,0,0,0
Tajikistan,0,0,23,8,71,59,32,14,1,2,1,0
United Arab Emirates,0,0,0,0,0,0,486,8,1,0,0,0
United States of America,0,0,0,0,0,0,0,0,1,0,0,0
HHI,1,0.831862657,0.861164582,0.613384207,0.671354327,0.976658758,0.950068079,0.960328037,0.962632816,0.968473285,0.960584101,0.966598319
