Importers,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017
World,2014,305,16283,303,930
United States of America,13,137,84,177,844
Panama,0,0,47,73,59
Jamaica,0,141,52,51,11
Canada,1,8,0,1,10
Kazakhstan,0,0,0,0,5
Dominican Republic,750,0,16070,0,1
Belize,0,0,14,0,0
Congo,0,11,0,0,0
France,0,0,0,0,0
Italy,1249,0,0,0,0
Morocco,0,8,0,0,0
Curaçao,0,0,0,0,0
Saint Lucia,0,0,16,0,0
HHI,0.446811236,0.360784107,0.977934337,0.307863787,0.84773774
