Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,28987,37,342,461,1350,288,1582,1550,3765,7898,6089,6858
"Iran, Islamic Republic of",320,0,18,17,37,84,411,330,556,4635,3832,3210
India,26,21,59,71,0,0,2,23,27,49,50,1008
Pakistan,28577,14,190,304,1302,51,760,950,2630,2721,1760,975
Uzbekistan,0,0,0,0,0,0,0,0,307,133,101,884
China,2,2,74,49,2,4,125,14,5,226,180,676
Turkmenistan,0,0,0,0,0,0,0,0,0,0,18,37
Türkiye,5,0,0,0,0,2,0,0,0,32,67,31
United Arab Emirates,0,0,2,18,10,145,245,0,35,39,0,20
Tajikistan,55,0,0,2,0,3,39,60,204,62,24,15
United States of America,0,0,0,0,0,0,0,0,0,1,10,2
Kazakhstan,0,0,0,0,0,0,0,174,0,0,46,0
Russian Federation,0,0,0,0,0,0,0,0,0,1,0,0
Slovakia,2,0,0,0,0,0,0,0,0,0,0,0
HHI,0.977364298,0.252974019,0.317850135,0.472055049,0.929726734,0.33839053,0.27957898,0.425153305,0.551080582,0.534089059,0.551840991,0.321412258
