code,2015,2016,2017,2018,2019,2020,2021,2022
69,2.86E-07,5.35E-07,5.07E-06,2.26E-06,5.94E-07,9.03E-07,1.02E-06,4.80E-07
70,3.94E-05,7.11E-05,5.69E-05,5.43E-06,1.76E-06,2.38E-05,9.62E-07,6.59E-06
71,1.86E-05,1.96E-06,2.11E-06,0.004668159,0.007403698,0.004603747,0.003212155,0.023471149
72,0.000181197,7.42E-05,7.19E-05,7.32E-05,3.50E-05,2.16E-05,2.98E-05,2.99E-05
73,5.98E-05,7.80E-05,3.12E-05,1.70E-05,2.89E-05,4.07E-05,1.07E-05,3.32E-05
74,0.224628466,0.306372116,0.187879599,0.099120703,0.139289483,0.254054476,0.262339154,0.223046859
76,2.14E-08,2.34E-05,2.78E-05,6.96E-05,0.000100519,0.000175548,0.000133665,0.00010914
78,8.04E-05,0.000385105,4.70E-05,5.30E-05,1.56E-05,6.41E-06,4.71E-05,3.17E-05
79,0.000636911,0.001118133,0.000417565,2.28E-05,0.000139064,0.002089342,0.001242248,0.001214308
81,0.006132063,0.009694044,0.007058359,0.000374161,0.001744497,0.010473549,0.005622215,0.004280412
82,3.98E-05,0.000148588,1.12E-05,6.32E-06,1.29E-05,1.42E-05,2.35E-05,2.69E-05
83,5.31E-06,8.49E-06,4.03E-07,1.65E-06,1.18E-06,9.36E-07,6.87E-07,2.78E-06
84,0.00123379,0.001085186,0.000394077,0.000515515,0.000425851,0.00080797,0.000189842,0.000181722
85,0.000193259,0.000288936,7.74E-05,0.000132087,0.000181198,0.000160621,4.28E-05,5.38E-05
86,0.000730859,0.000467348,8.44E-05,0.000551938,8.88E-06,1.60E-05,6.19E-05,1.32E-05
87,0.002141822,0.000694904,0.000162422,0.000656455,0.001172348,0.00121649,0.000145071,0.000377477
88,0.000185654,0.001389542,0.000162777,8.96E-05,0.000722651,0.000114788,0.000509034,0.000107138
89,3.45E-07,0.00015336,3.83E-05,0.000127842,0.000230702,0.000135711,1.43E-06,1.00E-05
90,7.67E-05,0.000110815,0.000134275,7.05E-05,9.71E-05,5.51E-05,3.85E-05,5.08E-05
91,1.15E-06,0,1.42E-06,5.00E-08,0,7.08E-08,4.48E-08,3.39E-08
92,5.12E-06,8.34E-07,1.63E-07,4.62E-08,1.74E-07,1.61E-06,2.97E-08,5.00E-07
93,0.000206069,2.68E-05,6.68E-05,3.80E-05,6.52E-05,3.40E-05,1.04E-05,5.50E-06
94,7.45E-05,9.38E-05,2.47E-05,5.14E-06,8.41E-05,5.50E-05,3.26E-06,7.23E-06
95,1.39E-06,1.63E-06,3.32E-07,4.16E-07,1.24E-05,4.58E-06,4.05E-06,4.11E-07
96,3.74E-08,1.29E-06,1.46E-05,1.18E-05,1.14E-05,2.14E-07,1.17E-07,1.33E-07
97,3.80E-06,2.42E-07,5.51E-07,2.93E-06,8.95E-06,8.96E-06,6.68E-06,7.10E-06
HHI_X,0.438013746,0.609168328,0.530003148,0.525882009,0.332259239,0.38842154,0.399606113,0.405486861
