Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,0,0,0,0,0,0,0,0,0,4476,3160,3706
United States of America,0,0,0,0,0,0,0,0,0,4160,2637,2489
Türkiye,0,0,0,0,0,0,0,0,0,21,249,760
Russian Federation,0,0,0,0,0,0,0,0,0,53,55,259
France,0,0,0,0,0,0,0,0,0,90,100,54
Germany,0,0,0,0,0,0,0,0,0,123,27,52
United Kingdom,0,0,0,0,0,0,0,0,0,22,43,30
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,25
Ukraine,0,0,0,0,0,0,0,0,0,1,0,22
Italy,0,0,0,0,0,0,0,0,0,0,0,13
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,2
Estonia,0,0,0,0,0,0,0,0,0,0,0,2
China,0,0,0,0,0,0,0,0,0,0,33,0
Denmark,0,0,0,0,0,0,0,0,0,0,14,0
Mexico,0,0,0,0,0,0,0,0,0,2,0,0
South Africa,0,0,0,0,0,0,0,0,0,2,2,0
Sweden,0,0,0,0,0,0,0,0,0,3,0,0
HHI,0,0,0,0,0,0,0,0,0,0.89781024,0.758821202,0.57922932
