Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,3653,11798,2296,3141,13509,3520,14119,3734
South Africa,1203,10619,2100,1632,796,527,1486,3300
Ukraine,1,0,0,3,1,1,0,247
Eswatini,0,0,0,0,0,0,0,50
Kenya,0,0,17,0,9,1451,0,37
Israel,0,0,0,0,0,0,0,27
Belgium,2,14,2,8,9,9,28,18
Uganda,100,0,151,10,230,0,0,15
Gabon,0,0,0,0,0,1,29,13
United States of America,115,19,2,47,14,2,5,12
Ethiopia,0,3,0,1,38,16,14,5
France,43,36,20,28,10574,9,12001,4
Morocco,0,0,0,0,0,2,1,2
Slovakia,0,3,3,2,3,0,4,2
United Arab Emirates,1,0,1,2,2,0,5,2
Nigeria,0,0,0,0,1265,0,0,1
Angola,0,0,0,1,0,0,0,0
Canada,1854,1104,0,1403,0,1465,8,0
Colombia,205,0,0,0,0,0,0,0
Czech Republic,0,0,0,0,0,1,0,0
Germany,0,0,0,0,0,1,0,0
"Hong Kong, China",0,0,0,0,0,0,2,0
Russian Federation,0,0,0,0,0,0,8,0
Saint Kitts and Nevis,0,0,0,2,0,0,0,0
Slovenia,0,0,0,0,1,0,0,0
Sudan,30,0,0,1,0,0,0,0
Switzerland,0,0,0,0,0,32,0,0
Tunisia,0,0,0,0,564,0,0,0
United Kingdom,100,0,0,2,3,3,5,0
Uruguay,0,0,0,0,0,0,520,0
HHI,0.44139441,0.847157306,0.871712045,0.570681348,0.715872837,0.460527928,0.805221371,0.84694814
