Importers,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017
World,25724,15297,20401,39811,18941
United States of America,25324,14887,20026,39408,18645
Canada,394,396,361,396,257
United Kingdom,0,0,0,0,18
Singapore,0,0,0,0,7
Dominican Republic,0,0,0,0,4
France,1,7,0,1,2
"Hong Kong, China",0,0,0,0,2
Honduras,0,0,0,0,1
Israel,0,0,0,0,1
Japan,0,0,0,0,1
"Korea, Republic of",0,0,6,0,1
Philippines,0,0,0,0,1
Argentina,0,0,0,0,0
Belgium,0,0,0,0,0
Brazil,0,0,0,0,0
Cambodia,0,5,4,0,0
Cayman Islands,0,0,0,1,0
China,0,0,0,0,0
Colombia,0,0,0,2,0
Ethiopia,0,0,1,0,0
Ireland,0,0,0,0,0
Italy,0,0,0,0,0
Côte d'Ivoire,1,0,0,0,0
Jamaica,0,0,0,1,0
Liberia,0,1,0,0,0
"Taipei, Chinese",0,0,0,1,0
Netherlands,0,0,1,0,0
Panama,0,0,0,0,0
Poland,0,0,0,1,0
Senegal,0,0,0,0,0
Spain,0,0,2,0,0
Switzerland,0,0,0,0,0
Togo,1,0,0,0,0
United Arab Emirates,0,0,0,1,0
Uganda,2,0,0,0,0
HHI,0.973923973,0.952136613,0.970706011,0.984890723,0.978162724
