Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,1545,133,2628,0,0,0,0,0,0,0,15132,8826,7173,5215,4129,2524,3799,6456
United States of America,0,0,150,0,0,0,0,0,0,0,7164,3695,2662,1868,914,575,1050,2816
Belgium,0,0,0,0,0,0,0,0,0,0,318,1934,80,53,419,452,793,1222
United Kingdom,0,0,222,0,0,0,0,0,0,0,2038,343,547,1148,1575,638,407,615
Namibia,50,0,0,0,0,0,0,0,0,0,205,30,38,38,14,8,139,460
Spain,0,0,0,0,0,0,0,0,0,0,1293,262,5,38,50,0,0,313
Australia,0,0,0,0,0,0,0,0,0,0,70,3,89,0,0,9,0,259
Portugal,1,0,16,0,0,0,0,0,0,0,197,30,25,58,36,36,57,197
Thailand,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,110
Congo,0,30,684,0,0,0,0,0,0,0,271,463,174,122,9,14,133,100
Germany,0,0,0,0,0,0,0,0,0,0,0,2,0,45,0,0,101,82
Ghana,0,0,0,0,0,0,0,0,0,0,117,6,87,20,0,0,2,72
France,6,6,29,0,0,0,0,0,0,0,322,32,105,127,317,0,67,49
Netherlands,0,0,1,0,0,0,0,0,0,0,85,47,936,486,84,27,170,27
South Africa,3,24,46,0,0,0,0,0,0,0,1923,1393,924,655,227,651,66,27
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,5,36,6,11,48,18,529,16
Nigeria,0,22,0,0,0,0,0,0,0,0,105,37,263,19,13,0,0,15
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10,0,2,14
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Viet Nam,0,0,0,0,0,0,0,0,0,0,2,0,1,5,20,0,2,13
Norway,0,0,1355,0,0,0,0,0,0,0,56,17,686,0,203,0,110,11
Senegal,0,0,0,0,0,0,0,0,0,0,389,2,0,0,0,17,50,9
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,12,48,90,57,13,18,18,6
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,3
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gabon,0,6,111,0,0,0,0,0,0,0,30,5,34,141,19,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0
"Korea, Democratic People's Republic of",1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
