Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,0,10,4,6,2,0,5,9
Belgium,0,0,1,0,0,0,0,7
Burundi,0,0,0,0,0,0,0,1
Gabon,0,0,0,0,0,0,0,1
Angola,0,0,0,1,0,0,0,0
France,0,0,0,1,0,0,0,0
Kenya,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,3,0
South Africa,0,1,3,4,2,0,0,0
Spain,0,0,0,0,0,0,0,0
Togo,0,9,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,2,0
HHI,0,0.677488313,0.284959256,0.307007204,1,0,0.047810851,0.511396939
