Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018
World,0,6,0,0,0,2,0,0,4,10,8,0,8,45,155,5,54,3
Nauru,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,2,1,3
Australia,0,3,0,0,0,2,0,0,0,1,3,0,0,3,84,0,1,0
Fiji,0,0,0,0,0,0,0,0,4,0,0,0,6,2,0,0,0,0
Kiribati,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,0
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,1,28,71,1,0,0
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0,0,0,0,0,1,0,0,1,0.677488313,0.074300818,0,0.457119613,0.384873311,0.008476318,0.053589838,0.869413102,1
